Session,Query ID,候选 Add Prompt,Query 检索方式,Transition,Production Gold ranks,Candidate Gold ranks,Promoted Gold,Demoted Gold,Max promotion,Max demotion
S001,S001-Q013,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 8}",0,0,0,1
S001,S001-Q013,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 8, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 5}",0,0,1,2
S001,S001-Q013,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 8, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 9}",0,0,1,2
S001,S001-Q013,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,HURT,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 8}",0,1,0,5
S001,S001-Q014,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",0,0,-1,1
S001,S001-Q014,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",0,0,1,-1
S001,S001-Q014,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",0,0,-1,1
S001,S001-Q014,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",0,0,1,-1
S001,S001-Q014,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",0,0,-1,1
S001,S001-Q014,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",0,0,1,-1
S001,S001-Q021,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 7}",0,0,-1,1
S001,S001-Q021,最小改动 Add Prompt,上下文引用解析后检索,RESCUED,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 5}",1,0,1,-1
S001,S001-Q021,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 9}",0,0,-3,3
S001,S001-Q021,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 8}",0,0,-2,2
S001,S001-Q021,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}",0,0,0,0
S001,S001-Q021,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}",0,0,0,0
S001,S001-Q022,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 6}",0,0,7,0
S001,S001-Q022,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 6}",0,0,5,0
S001,S001-Q022,多检索入口保留 Add Prompt,原始问题直接检索,RESCUED,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 18, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 4}",1,0,9,2
S001,S001-Q022,多检索入口保留 Add Prompt,上下文引用解析后检索,RESCUED,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 18, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 4}",1,0,7,1
S001,S001-Q022,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 15, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 16}",0,0,1,3
S001,S001-Q022,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 15, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 16}",0,0,2,5
S001,S001-Q026,最小改动 Add Prompt,原始问题直接检索,HURT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 20, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 13}",0,1,1,9
S001,S001-Q026,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 17, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 15, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 18}",0,0,2,7
S001,S001-Q026,多检索入口保留 Add Prompt,原始问题直接检索,HURT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 7}",0,1,0,3
S001,S001-Q026,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 17, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 15, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 12}",0,0,2,1
S001,S001-Q026,任务 + 证据链保留 Add Prompt,原始问题直接检索,HURT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 22, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 12}",0,1,-1,8
S001,S001-Q026,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 17, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 17}",0,0,-4,6
S001,S001-Q028,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 3}",0,0,-1,1
S001,S001-Q028,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 3}",0,0,-1,1
S001,S001-Q028,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 4}",0,0,-2,2
S001,S001-Q028,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 4}",0,0,-2,2
S001,S001-Q028,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}",0,0,0,0
S001,S001-Q028,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}",0,0,0,0
S001,S001-Q033,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 18}",0,0,2,0
S001,S001-Q033,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 3, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 18}",0,0,6,2
S001,S001-Q033,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 25}",0,0,0,5
S001,S001-Q033,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}",0,0,-1,3
S001,S001-Q033,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}",0,0,0,0
S001,S001-Q033,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 25}",0,0,0,1
S001,S001-Q035,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 22}",0,0,5,-5
S001,S001-Q035,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 26}",0,0,2,-2
S001,S001-Q035,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}",0,0,0,0
S001,S001-Q035,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}",0,0,1,-1
S001,S001-Q035,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 26}",0,0,1,-1
S001,S001-Q035,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}",0,0,0,0
S001,S001-Q039,最小改动 Add Prompt,原始问题直接检索,HURT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 6, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 28}",0,1,-3,17
S001,S001-Q039,最小改动 Add Prompt,上下文引用解析后检索,HURT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 6, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 28}",0,1,-3,17
S001,S001-Q039,多检索入口保留 Add Prompt,原始问题直接检索,HURT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 8, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 10}",0,1,1,5
S001,S001-Q039,多检索入口保留 Add Prompt,上下文引用解析后检索,HURT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 8, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 10}",0,1,1,5
S001,S001-Q039,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 4, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 7}",0,0,4,1
S001,S001-Q039,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 4, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 7}",0,0,4,1
S001,S001-Q042,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 11}",0,0,-5,5
S001,S001-Q042,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 11}",0,0,-5,5
S001,S001-Q042,多检索入口保留 Add Prompt,原始问题直接检索,RESCUED,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 4}",1,0,2,-2
S001,S001-Q042,多检索入口保留 Add Prompt,上下文引用解析后检索,RESCUED,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 4}",1,0,2,-2
S001,S001-Q042,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 10}",0,0,-4,4
S001,S001-Q042,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 10}",0,0,-4,4
S001,S001-Q044,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 12, ""4054aab2-0aa7-5019-b341-077265511add"": 30}",0,0,3,1
S001,S001-Q044,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 12, ""4054aab2-0aa7-5019-b341-077265511add"": 30}",0,0,3,1
S001,S001-Q044,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 8, ""4054aab2-0aa7-5019-b341-077265511add"": 30}",0,0,7,1
S001,S001-Q044,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 8, ""4054aab2-0aa7-5019-b341-077265511add"": 30}",0,0,7,1
S001,S001-Q044,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 6, ""4054aab2-0aa7-5019-b341-077265511add"": 31}",0,0,9,2
S001,S001-Q044,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 6, ""4054aab2-0aa7-5019-b341-077265511add"": 31}",0,0,9,2
S001,S001-Q049,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 16}",0,0,-3,3
S001,S001-Q049,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 20}",0,0,-9,9
S001,S001-Q049,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 18}",0,0,-5,5
S001,S001-Q049,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 19}",0,0,-8,8
S001,S001-Q049,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 19}",0,0,-6,6
S001,S001-Q049,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 18}",0,0,-7,7
S002,S002-Q007,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,0,0
S002,S002-Q007,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,0,0
S002,S002-Q007,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,0,0
S002,S002-Q007,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,0,0
S002,S002-Q007,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,0,0
S002,S002-Q007,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,0,0
S002,S002-Q011,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 5, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}",1,0,1,0
