Checkpoint,session_id,query_id,gold_page_id,Transition,Categories,Shared BM25 tokens,Dense rank,Hybrid rank
C0,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,DEMOTED,"[""判断修订""]","[""三年"", ""不能"", ""事实"", ""原因"", ""口径"", ""的"", ""确认"", ""能"", ""说明"", ""财务""]",4,6
C0,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,PROMOTED,"[""指标名""]","[""一轮"", ""事实"", ""原因"", ""现金流"", ""的"", ""经营"", ""结论"", ""能""]",6,5
C0,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,DEMOTED,"[""指标名"", ""实体""]","[""中"", ""只"", ""和"", ""数字"", ""比亚迪"", ""的"", ""股东权益""]",5,10
C0,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,PROMOTED,"[""指标名"", ""实体""]","[""三年"", ""中"", ""体现"", ""具体"", ""刚才"", ""在"", ""怎么"", ""数字"", ""比亚迪"", ""的"", ""结合"", ""资产"", ""这组""]",19,3
C0,S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,DEMOTED,"[""其它""]","[""一轮"", ""上"", ""具体"", ""同比"", ""在"", ""来源"", ""的"", ""结论""]",2,8
C0,S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,PROMOTED,"[""判断修订""]","[""前面"", ""的"", ""证据"", ""超过""]",14,5
C0,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,DEMOTED,"[""证据层级/证据强度""]","[""回答"", ""数据"", ""的"", ""证据""]",2,19
C0,S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,PROMOTED,"[""指标名""]","[""再"", ""净利润"", ""匹配"", ""可以"", ""归母"", ""把"", ""收入"", ""方向"", ""的"", ""结论""]",16,2
C0,S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,DEMOTED,"[""其它""]","[""刚才"", ""如果"", ""直接"", ""结论""]",3,9
C0,S005,S005-Q026,daf8b285-37ac-5e07-a640-74fc9322fe21,PROMOTED,"[""其它""]","[""不是"", ""刚才"", ""如果"", ""怎样"", ""指标"", ""而""]",11,2
C0,S005,S005-Q033,52954b6d-4823-5e0a-955d-8a3b24df0a30,DEMOTED,"[""指标名"", ""判断修订""]","[""一轮"", ""上"", ""与"", ""净利润"", ""判断"", ""前面"", ""归母"", ""的"", ""需要""]",2,6
C0,S005,S005-Q039,a9136ff5-7fca-58fe-8907-08b361042647,DEMOTED,"[""反证/反例""]","[""刚才"", ""如果"", ""现金"", ""的""]",1,11
C0,S005,S005-Q042,19b9c9f1-754d-5322-831d-a2b5bbc632f9,DEMOTED,"[""指标名""]","[""再"", ""变化"", ""的"", ""结论"", ""股东权益"", ""资产""]",3,11
C0,S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,DEMOTED,"[""指标名""]","[""变化"", ""同比"", ""和"", ""把"", ""权益"", ""的"", ""资产""]",3,10
C0,S005,S005-Q055,cc845b3c-bd6e-511e-8bf1-44f5e08cf54a,DEMOTED,"[""证据层级/证据强度"", ""判断修订""]","[""与"", ""修订"", ""判断"", ""前面"", ""的"", ""证据"", ""请""]",3,8
C1,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,DEMOTED,"[""指标名""]","[""上升"", ""先升后"", ""净利润"", ""分别"", ""同比"", ""和"", ""归母"", ""总资产"", ""把"", ""收入"", ""的"", ""营业"", ""连续"", ""降""]",3,7
C1,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,DEMOTED,"[""反证/反例""]","[""只"", ""的""]",2,6
C1,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,DEMOTED,"[""指标名"", ""近似杠杆""]","[""一轮"", ""上"", ""同比"", ""归母"", ""总资产"", ""把"", ""的"", ""股东权益"", ""请"", ""近似""]",1,7
C1,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,DEMOTED,"[""指标名""]","[""从"", ""最"", ""的"", ""证据"", ""资产""]",3,7
C1,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,DEMOTED,"[""其它""]","[""和"", ""把"", ""披露"", ""的"", ""计算"", ""请""]",5,6
C1,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,PROMOTED,"[""实体"", ""信息缺口""]","[""不是"", ""具体"", ""刚才"", ""如果"", ""怎样"", ""指标"", ""而"", ""茅台"", ""贵州""]",9,4
C1,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,DEMOTED,"[""指标名"", ""实体""]","[""三年"", ""与"", ""中"", ""体现"", ""具体"", ""再"", ""变化"", ""在"", ""归母"", ""怎么"", ""总资产"", ""或"", ""数字"", ""的"", ""结论"", ""股东权益"", ""茅台"", ""贵州"", ""这组""]",4,12
C1,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,DEMOTED,"[""指标名"", ""实体""]","[""三年"", ""中"", ""体现"", ""具体"", ""变化"", ""和"", ""在"", ""怎么"", ""数字"", ""权益"", ""的"", ""茅台"", ""请"", ""贵州"", ""资产"", ""这组""]",5,15
C1,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,DEMOTED,"[""证据层级/证据强度""]","[""不"", ""和"", ""来源"", ""的"", ""结论""]",5,19
C1,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,DEMOTED,"[""年份/数字"", ""证据层级/证据强度"", ""判断修订""]","[""与"", ""修订"", ""判断"", ""前面"", ""在"", ""年"", ""的""]",5,12
C1,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,DEMOTED,"[""指标名"", ""证据层级/证据强度"", ""近似周转""]","[""一轮"", ""不能"", ""分析"", ""原因"", ""总资产"", ""披露"", ""的"", ""确认"", ""能""]",1,10
C1,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,PROMOTED,"[""指标名"", ""近似杠杆""]","[""不能"", ""先"", ""变化"", ""基于"", ""归母"", ""总资产"", ""的"", ""结论"", ""股东权益"", ""能"", ""说明"", ""近似""]",6,1
C1,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,DEMOTED,"[""指标名""]","[""净额"", ""刚才"", ""指标"", ""是"", ""活动"", ""现金流"", ""的"", ""经营"", ""连续""]",5,6
C1,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,PROMOTED,"[""指标名"", ""年份/数字""]","[""2024"", ""下降"", ""再"", ""净额"", ""前面"", ""变化"", ""年"", ""总资产"", ""活动"", ""现金流"", ""的"", ""确认"", ""经营"", ""连续"", ""问题""]",14,3
C1,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,PROMOTED,"[""年份/数字""]","[""2024"", ""保留"", ""年"", ""把"", ""的"", ""证据"", ""超过""]",22,3
C1,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,PROMOTED,"[""证据层级/证据强度"", ""反证/反例"", ""判断修订""]","[""与"", ""事实"", ""信息"", ""修订"", ""判断"", ""前面"", ""区分"", ""回答"", ""的"", ""计算""]",31,4
C1,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,DEMOTED,"[""证据层级/证据强度""]","[""上"", ""和"", ""它"", ""的"", ""结论"", ""而"", ""证据""]",4,10
C1,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,DEMOTED,"[""指标名""]","[""上升"", ""为"", ""保留"", ""先升后"", ""净利润"", ""归母"", ""总资产"", ""指标"", ""提示"", ""来源"", ""的"", ""结论"", ""连续"", ""降""]",3,24
C1,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,DEMOTED,"[""判断修订""]","[""三年"", ""不能"", ""事实"", ""原因"", ""口径"", ""的"", ""确认"", ""能"", ""说明"", ""财务""]",4,6
C1,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,PROMOTED,"[""指标名""]","[""一轮"", ""事实"", ""先升后"", ""净利润"", ""原因"", ""归母"", ""扣非"", ""现金流"", ""的"", ""经营"", ""结论"", ""能"", ""降""]",6,5
C1,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,DEMOTED,"[""指标名"", ""实体""]","[""与"", ""中"", ""只"", ""和"", ""归母"", ""总资产"", ""数字"", ""比亚迪"", ""的"", ""股东权益""]",5,9
C1,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,PROMOTED,"[""指标名"", ""实体""]","[""三年"", ""中"", ""体现"", ""先升后"", ""具体"", ""净利润"", ""刚才"", ""呈"", ""在"", ""归母"", ""怎么"", ""扣非"", ""数字"", ""比亚迪"", ""的"", ""结合"", ""资产"", ""这组"", ""降""]",6,2
C1,S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,PROMOTED,"[""指标名"", ""年份/数字""]","[""2023"", ""2024"", ""2025"", ""与"", ""公开"", ""具体"", ""净利润"", ""同比"", ""和"", ""在"", ""差异"", ""年度"", ""归母"", ""收入"", ""方向"", ""来源"", ""的"", ""营业""]",19,3
C1,S004,S004-Q035,dad4c589-bd44-5d61-917f-9435b971db4d,DEMOTED,"[""指标名""]","[""净利润"", ""前面"", ""变化"", ""和"", ""基于"", ""归母"", ""收入"", ""的"", ""营业"", ""近似""]",5,8
C1,S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,DEMOTED,"[""指标名"", ""反证/反例"", ""判断修订""]","[""上升"", ""下降"", ""先升后"", ""净利润"", ""净额"", ""前面"", ""回答"", ""归母"", ""扣非"", ""收入"", ""活动"", ""现金流"", ""的"", ""经营"", ""股东权益"", ""营业"", ""连续"", ""降""]",5,15
C1,S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,PROMOTED,"[""判断修订""]","[""前面"", ""的"", ""证据"", ""超过""]",14,5
C1,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,DEMOTED,"[""证据层级/证据强度""]","[""回答"", ""数据"", ""的"", ""证据""]",2,19
C1,S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,PROMOTED,"[""指标名""]","[""再"", ""净利润"", ""匹配"", ""可以"", ""归母"", ""把"", ""收入"", ""方向"", ""的"", ""结论""]",16,2
C1,S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,DEMOTED,"[""指标名""]","[""净利润"", ""刚才"", ""如果"", ""归母"", ""扣非"", ""直接"", ""结论""]",4,8
C1,S005,S005-Q026,daf8b285-37ac-5e07-a640-74fc9322fe21,PROMOTED,"[""指标名""]","[""不是"", ""刚才"", ""如果"", ""归母"", ""怎样"", ""指标"", ""而""]",17,2
C1,S005,S005-Q039,a9136ff5-7fca-58fe-8907-08b361042647,DEMOTED,"[""反证/反例""]","[""刚才"", ""如果"", ""现金"", ""的""]",1,11
C1,S005,S005-Q042,19b9c9f1-754d-5322-831d-a2b5bbc632f9,DEMOTED,"[""指标名""]","[""与"", ""再"", ""变化"", ""归母"", ""总资产"", ""的"", ""结论"", ""股东权益""]",3,10
C1,S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,DEMOTED,"[""指标名""]","[""变化"", ""同比"", ""和"", ""把"", ""权益"", ""的"", ""资产""]",3,10
C1,S005,S005-Q055,cc845b3c-bd6e-511e-8bf1-44f5e08cf54a,DEMOTED,"[""证据层级/证据强度"", ""判断修订""]","[""与"", ""修订"", ""判断"", ""前面"", ""的"", ""证据"", ""请""]",3,8
C2,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,DEMOTED,"[""指标名""]","[""上升"", ""先升后"", ""净利润"", ""分别"", ""同比"", ""和"", ""归母"", ""总资产"", ""收入"", ""的"", ""营业"", ""连续"", ""降""]",4,7
C2,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,DEMOTED,"[""反证/反例""]","[""只""]",3,6
C2,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,DEMOTED,"[""指标名"", ""近似杠杆""]","[""一轮"", ""上"", ""同比"", ""归母"", ""总资产"", ""的"", ""股东权益"", ""近似""]",1,6
C2,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,DEMOTED,"[""指标名"", ""实体""]","[""三年"", ""具体"", ""变化"", ""和"", ""数字"", ""权益"", ""的"", ""茅台"", ""贵州"", ""资产""]",5,10
C2,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,DEMOTED,"[""证据层级/证据强度""]","[""不"", ""和"", ""来源"", ""的"", ""结论""]",2,16
C2,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,DEMOTED,"[""年份/数字"", ""证据层级/证据强度"", ""判断修订""]","[""与"", ""修订"", ""判断"", ""年"", ""的""]",3,15
C2,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,DEMOTED,"[""指标名"", ""证据层级/证据强度"", ""近似周转""]","[""一轮"", ""不能"", ""分析"", ""原因"", ""总资产"", ""披露"", ""的"", ""确认"", ""能""]",2,6
C2,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,DEMOTED,"[""指标名""]","[""净额"", ""变化"", ""活动"", ""现金流"", ""的"", ""经营"", ""连续""]",2,6
C2,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,DEMOTED,"[""指标名""]","[""净额"", ""指标"", ""活动"", ""现金流"", ""的"", ""经营"", ""连续""]",4,8
C2,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,PROMOTED,"[""指标名"", ""年份/数字""]","[""2024"", ""下降"", ""再"", ""净额"", ""变化"", ""年"", ""总资产"", ""活动"", ""现金流"", ""的"", ""确认"", ""经营"", ""连续"", ""问题""]",12,2
C2,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,DEMOTED,"[""指标名""]","[""净利润"", ""和"", ""基于"", ""归母"", ""收入"", ""的""]",4,11
C2,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,DEMOTED,"[""指标名"", ""年份/数字"", ""反证/反例"", ""判断修订""]","[""2023"", ""2025"", ""上升"", ""反证"", ""和"", ""年"", ""归母"", ""总资产"", ""的"", ""股东权益"", ""连续""]",5,11
C2,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,PROMOTED,"[""年份/数字""]","[""2024"", ""保留"", ""年"", ""的"", ""证据"", ""超过""]",25,3
C2,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,PROMOTED,"[""证据层级/证据强度"", ""反证/反例"", ""判断修订""]","[""与"", ""事实"", ""保留"", ""判断"", ""时"", ""的"", ""被"", ""计算""]",37,4
C2,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,DEMOTED,"[""证据层级/证据强度""]","[""上"", ""和"", ""的"", ""结论"", ""而"", ""证据""]",3,8
C2,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,DEMOTED,"[""指标名""]","[""上升"", ""为"", ""保留"", ""先升后"", ""净利润"", ""归母"", ""总资产"", ""指标"", ""提示"", ""来源"", ""的"", ""结论"", ""连续"", ""降""]",3,17
C2,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,PROMOTED,"[""判断修订""]","[""三年"", ""不能"", ""事实"", ""原因"", ""口径"", ""的"", ""确认"", ""能"", ""说明"", ""财务""]",7,2
C2,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,DEMOTED,"[""指标名"", ""实体""]","[""三年"", ""关系"", ""变化"", ""和"", ""归母"", ""总资产"", ""比亚迪"", ""的"", ""股东权益""]",4,8
C2,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,DEMOTED,"[""指标名"", ""实体""]","[""与"", ""中"", ""和"", ""归母"", ""总资产"", ""数字"", ""比亚迪"", ""的"", ""股东权益""]",2,7
C2,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,PROMOTED,"[""指标名"", ""实体""]","[""三年"", ""先升后"", ""具体"", ""净利润"", ""呈"", ""归母"", ""扣非"", ""比亚迪"", ""的"", ""结合"", ""资产"", ""降""]",7,3
C2,S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,PROMOTED,"[""指标名"", ""年份/数字""]","[""2023"", ""2024"", ""2025"", ""一轮"", ""上"", ""与"", ""具体"", ""净利润"", ""同比"", ""和"", ""在"", ""归母"", ""方向"", ""来源"", ""结论""]",10,5
C2,S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,PROMOTED,"[""指标名"", ""年份/数字""]","[""2023"", ""2024"", ""2025"", ""与"", ""公开"", ""具体"", ""净利润"", ""同比"", ""和"", ""差异"", ""年度"", ""归母"", ""收入"", ""方向"", ""来源"", ""的"", ""营业""]",13,2
C2,S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,DEMOTED,"[""指标名"", ""反证/反例"", ""判断修订""]","[""上升"", ""下降"", ""先升后"", ""净利润"", ""净额"", ""归母"", ""扣非"", ""收入"", ""活动"", ""现金流"", ""的"", ""经营"", ""股东权益"", ""营业"", ""连续"", ""降""]",4,17
C2,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,DEMOTED,"[""证据层级/证据强度""]","[""数据"", ""的"", ""证据""]",1,15
C2,S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,PROMOTED,"[""指标名""]","[""再"", ""净利润"", ""匹配"", ""归母"", ""收入"", ""方向"", ""的"", ""结论""]",16,3
C2,S005,S005-Q033,407824ab-fd2c-5a7b-ac60-4e9d2ed5311e,DEMOTED,"[""指标名"", ""判断修订""]","[""一轮"", ""上"", ""净利润"", ""在"", ""归母"", ""经营""]",4,9
C2,S005,S005-Q039,a9136ff5-7fca-58fe-8907-08b361042647,DEMOTED,"[""反证/反例""]","[""现金""]",2,10
C2,S005,S005-Q042,19b9c9f1-754d-5322-831d-a2b5bbc632f9,DEMOTED,"[""指标名""]","[""与"", ""再"", ""变化"", ""归母"", ""总资产"", ""的"", ""结论"", ""股东权益""]",1,7
C2,S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,DEMOTED,"[""指标名""]","[""变化"", ""同比"", ""和"", ""权益"", ""的"", ""资产""]",2,6
C2,S005,S005-Q052,009ec1d2-83f6-5755-bd7a-e5a92eda1890,PROMOTED,"[""证据层级/证据强度""]","[""不"", ""和"", ""完整"", ""数据"", ""早"", ""更"", ""现金"", ""的"", ""盈利"", ""结论"", ""财年""]",9,2
C3,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,DEMOTED,"[""指标名""]","[""再"", ""净利润"", ""变化"", ""口径"", ""归母"", ""总资产"", ""把"", ""的"", ""确认"", ""经营"", ""结论""]",3,6
C3,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,DEMOTED,"[""其它""]","[""的"", ""结论""]",4,9
C3,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,DEMOTED,"[""其它""]","[""和"", ""披露"", ""的""]",5,6
C3,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,DEMOTED,"[""指标名"", ""实体""]","[""一项"", ""三年"", ""不"", ""先升后"", ""净利润"", ""呈"", ""归母"", ""披露"", ""收入"", ""结论"", ""茅台"", ""营业"", ""贵州"", ""降""]",2,9
C3,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,PROMOTED,"[""指标名"", ""实体""]","[""一轮"", ""三年"", ""上"", ""中"", ""保留"", ""净利润"", ""归母"", ""指标"", ""茅台"", ""贵州""]",11,4
C3,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,DEMOTED,"[""实体"", ""反证/反例""]","[""三年"", ""区分"", ""变化"", ""和"", ""茅台"", ""贵州"", ""路径""]",2,8
C3,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,DEMOTED,"[""指标名"", ""实体"", ""信息缺口""]","[""三年"", ""收入"", ""的"", ""直接"", ""缺口"", ""茅台"", ""营业"", ""贵州""]",4,10
C3,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,PROMOTED,"[""年份/数字"", ""证据层级/证据强度"", ""判断修订""]","[""2024"", ""与"", ""保留"", ""信息"", ""修订"", ""判断"", ""在"", ""年"", ""的"", ""计算"", ""重新""]",16,1
C3,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,DEMOTED,"[""指标名"", ""基期判断""]","[""上升"", ""归母"", ""总资产"", ""指标"", ""检查"", ""的"", ""股东权益"", ""连续""]",1,7
C3,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,PROMOTED,"[""指标名"", ""基期判断""]","[""上升"", ""可"", ""复算"", ""归母"", ""总资产"", ""检查"", ""的"", ""股东权益"", ""连续""]",6,5
C3,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,DEMOTED,"[""指标名"", ""证据层级/证据强度"", ""近似周转""]","[""一轮"", ""不能"", ""原因"", ""周转"", ""总资产"", ""披露"", ""收入"", ""期末"", ""检查"", ""的"", ""确认"", ""能"", ""营业"", ""计算"", ""证据"", ""近似""]",1,6
C3,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,PROMOTED,"[""指标名"", ""证据层级/证据强度"", ""近似周转""]","[""一轮"", ""上"", ""不能"", ""原因"", ""周转"", ""总资产"", ""披露"", ""收入"", ""期末"", ""检查"", ""的"", ""确认"", ""营业"", ""计算"", ""证据"", ""说明"", ""近似"", ""还是""]",11,4
C3,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,PROMOTED,"[""判断修订""]","[""一轮"", ""仍"", ""修订"", ""未"", ""来源"", ""的"", ""结论""]",11,4
C3,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,PROMOTED,"[""指标名"", ""近似杠杆""]","[""先"", ""再"", ""变化"", ""和"", ""基于"", ""归母"", ""总资产"", ""结论"", ""股东权益"", ""说明""]",6,2
C3,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,PROMOTED,"[""指标名"", ""年份/数字""]","[""2024"", ""再"", ""变化"", ""年"", ""总资产"", ""现金流"", ""的"", ""确认"", ""经营"", ""连续"", ""问题""]",7,2
C3,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,DEMOTED,"[""指标名"", ""年份/数字"", ""反证/反例"", ""判断修订""]","[""2023"", ""2025"", ""上升"", ""反证"", ""和"", ""年"", ""归母"", ""总资产"", ""或"", ""的"", ""股东权益"", ""连续""]",2,8
C3,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,PROMOTED,"[""年份/数字""]","[""2024"", ""三层"", ""中"", ""中间"", ""事实"", ""保留"", ""年"", ""点"", ""的"", ""证据"", ""超过""]",15,1
