session_id,query_id,candidate,search_variant,comparison,before_gold_ranks,after_gold_ranks,transition,promoted_gold,demoted_gold,max_promotion,max_demotion
S001,S001-Q014,A2,Baseline,A2 vs Old under Baseline,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",UNCHANGED_HIT,0,0,-1,1
S001,S001-Q014,A2,P2,A2 vs Old under P2,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q014,A3,Baseline,A3 vs Old under Baseline,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",UNCHANGED_HIT,0,0,-1,1
S001,S001-Q014,A3,P2,A3 vs Old under P2,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q021,A1,Baseline,A1 vs Old under Baseline,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 11}",UNCHANGED_MISS,0,0,-5,5
S001,S001-Q021,A1,P2,A1 vs Old under P2,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 14}",UNCHANGED_MISS,0,0,-8,8
S001,S001-Q021,A2,Baseline,A2 vs Old under Baseline,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 12}",UNCHANGED_MISS,0,0,-6,6
S001,S001-Q021,A2,P2,A2 vs Old under P2,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 12}",UNCHANGED_MISS,0,0,-6,6
S001,S001-Q021,A3,Baseline,A3 vs Old under Baseline,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 10}",UNCHANGED_MISS,0,0,-4,4
S001,S001-Q021,A3,P2,A3 vs Old under P2,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 9}",UNCHANGED_MISS,0,0,-3,3
S001,S001-Q022,A1,Baseline,A1 vs Old under Baseline,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 9, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 15}",UNCHANGED_MISS,0,0,7,2
S001,S001-Q022,A1,P2,A1 vs Old under P2,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 8, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 17}",UNCHANGED_MISS,0,0,9,6
S001,S001-Q022,A2,Baseline,A2 vs Old under Baseline,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 9, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 18}",UNCHANGED_MISS,0,0,7,5
S001,S001-Q022,A2,P2,A2 vs Old under P2,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 12, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 16}",UNCHANGED_MISS,0,0,5,5
S001,S001-Q022,A3,Baseline,A3 vs Old under Baseline,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 11, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 15}",UNCHANGED_MISS,0,0,5,2
S001,S001-Q022,A3,P2,A3 vs Old under P2,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 15, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 16}",UNCHANGED_MISS,0,0,2,5
S001,S001-Q026,A1,Baseline,A1 vs Old under Baseline,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 20, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 7}",HURT,0,1,1,3
S001,S001-Q026,A1,P2,A1 vs Old under P2,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 17, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 14, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}",UNCHANGED_MISS,0,0,3,0
S001,S001-Q026,A2,Baseline,A2 vs Old under Baseline,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 20, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 13}",HURT,0,1,1,9
S001,S001-Q026,A2,P2,A2 vs Old under P2,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 17, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 16, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 17}",UNCHANGED_MISS,0,0,1,6
S001,S001-Q026,A3,Baseline,A3 vs Old under Baseline,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 20, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 8}",HURT,0,1,1,4
S001,S001-Q026,A3,P2,A3 vs Old under P2,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 17, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 16, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 12}",UNCHANGED_MISS,0,0,1,1
S001,S001-Q028,A1,Baseline,A1 vs Old under Baseline,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 5}",UNCHANGED_HIT,0,0,-3,3
S001,S001-Q028,A1,P2,A1 vs Old under P2,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 5}",UNCHANGED_HIT,0,0,-3,3
S001,S001-Q028,A2,Baseline,A2 vs Old under Baseline,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 4}",UNCHANGED_HIT,0,0,-2,2
S001,S001-Q028,A2,P2,A2 vs Old under P2,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 4}",UNCHANGED_HIT,0,0,-2,2
S001,S001-Q028,A3,Baseline,A3 vs Old under Baseline,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q028,A3,P2,A3 vs Old under P2,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q033,A1,Baseline,A1 vs Old under Baseline,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 11, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 19}",HURT,0,1,1,9
S001,S001-Q033,A1,P2,A1 vs Old under P2,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 13, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 22}",HURT,0,1,2,12
S001,S001-Q033,A2,Baseline,A2 vs Old under Baseline,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 20, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 14}",HURT,0,1,6,18
S001,S001-Q033,A2,P2,A2 vs Old under P2,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 17, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 14}",HURT,0,1,10,16
S001,S001-Q033,A3,Baseline,A3 vs Old under Baseline,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 26, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 13}",HURT,0,1,7,24
S001,S001-Q033,A3,P2,A3 vs Old under P2,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 26, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 18}",HURT,0,1,6,25
S001,S001-Q035,A1,Baseline,A1 vs Old under Baseline,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 25}",UNCHANGED_MISS,0,0,2,-2
S001,S001-Q035,A1,P2,A1 vs Old under P2,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 25}",UNCHANGED_MISS,0,0,3,-3
S001,S001-Q035,A2,Baseline,A2 vs Old under Baseline,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}",UNCHANGED_MISS,0,0,-1,1
S001,S001-Q035,A2,P2,A2 vs Old under P2,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}",UNCHANGED_MISS,0,0,0,0
S001,S001-Q035,A3,Baseline,A3 vs Old under Baseline,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}",UNCHANGED_MISS,0,0,7,-7
S001,S001-Q035,A3,P2,A3 vs Old under P2,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 18}",UNCHANGED_MISS,0,0,10,-10
S001,S001-Q039,A1,Baseline,A1 vs Old under Baseline,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 19, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 18}",HURT,0,1,-7,16
S001,S001-Q039,A1,P2,A1 vs Old under P2,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 19, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 18}",HURT,0,1,-7,16
S001,S001-Q039,A2,Baseline,A2 vs Old under Baseline,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 9, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 5}",UNCHANGED_HIT,1,1,6,6
S001,S001-Q039,A2,P2,A2 vs Old under P2,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 9, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 5}",UNCHANGED_HIT,1,1,6,6
S001,S001-Q039,A3,Baseline,A3 vs Old under Baseline,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 7, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 24}",HURT,0,1,-4,13
S001,S001-Q039,A3,P2,A3 vs Old under P2,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 7, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 24}",HURT,0,1,-4,13
S001,S001-Q042,A1,Baseline,A1 vs Old under Baseline,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 33}",UNCHANGED_MISS,0,0,-27,27
S001,S001-Q042,A1,P2,A1 vs Old under P2,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 33}",UNCHANGED_MISS,0,0,-27,27
S001,S001-Q042,A2,Baseline,A2 vs Old under Baseline,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 28}",UNCHANGED_MISS,0,0,-22,22
S001,S001-Q042,A2,P2,A2 vs Old under P2,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 28}",UNCHANGED_MISS,0,0,-22,22
S001,S001-Q042,A3,Baseline,A3 vs Old under Baseline,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 25}",UNCHANGED_MISS,0,0,-19,19
S001,S001-Q042,A3,P2,A3 vs Old under P2,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 25}",UNCHANGED_MISS,0,0,-19,19
S001,S001-Q044,A1,Baseline,A1 vs Old under Baseline,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 3, ""4054aab2-0aa7-5019-b341-077265511add"": 23}",RESCUED,1,0,12,-6
S001,S001-Q044,A1,P2,A1 vs Old under P2,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 3, ""4054aab2-0aa7-5019-b341-077265511add"": 23}",RESCUED,1,0,12,-6
S001,S001-Q044,A2,Baseline,A2 vs Old under Baseline,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 6, ""4054aab2-0aa7-5019-b341-077265511add"": 35}",UNCHANGED_MISS,0,0,9,6
S001,S001-Q044,A2,P2,A2 vs Old under P2,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 6, ""4054aab2-0aa7-5019-b341-077265511add"": 35}",UNCHANGED_MISS,0,0,9,6
S001,S001-Q044,A3,Baseline,A3 vs Old under Baseline,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 5, ""4054aab2-0aa7-5019-b341-077265511add"": 19}",RESCUED,1,0,10,-10
S001,S001-Q044,A3,P2,A3 vs Old under P2,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 5, ""4054aab2-0aa7-5019-b341-077265511add"": 19}",RESCUED,1,0,10,-10
S001,S001-Q049,A1,Baseline,A1 vs Old under Baseline,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 2}",RESCUED,1,0,11,-11
S001,S001-Q049,A1,P2,A1 vs Old under P2,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 4}",RESCUED,1,0,7,-7
S001,S001-Q049,A2,Baseline,A2 vs Old under Baseline,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 9}",UNCHANGED_MISS,0,0,4,-4
S001,S001-Q049,A2,P2,A2 vs Old under P2,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 8}",UNCHANGED_MISS,0,0,3,-3
S001,S001-Q049,A3,Baseline,A3 vs Old under Baseline,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 10}",UNCHANGED_MISS,0,0,3,-3
S001,S001-Q049,A3,P2,A3 vs Old under P2,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 18}",UNCHANGED_MISS,0,0,-7,7
S002,S002-Q007,A1,Baseline,A1 vs Old under Baseline,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",UNCHANGED_HIT,0,0,0,0
S002,S002-Q007,A1,P2,A1 vs Old under P2,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",UNCHANGED_HIT,0,0,0,0
S002,S002-Q007,A2,Baseline,A2 vs Old under Baseline,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",UNCHANGED_HIT,0,0,0,0
S002,S002-Q007,A2,P2,A2 vs Old under P2,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",UNCHANGED_HIT,0,0,0,0
S002,S002-Q007,A3,Baseline,A3 vs Old under Baseline,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",UNCHANGED_HIT,0,0,0,0
S002,S002-Q007,A3,P2,A3 vs Old under P2,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",UNCHANGED_HIT,0,0,0,0
S002,S002-Q011,A1,Baseline,A1 vs Old under Baseline,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 6}",HURT,0,1,-1,3
S002,S002-Q011,A1,P2,A1 vs Old under P2,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 6}",HURT,0,1,-1,3
S002,S002-Q011,A2,Baseline,A2 vs Old under Baseline,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 6}",HURT,0,1,-1,3
S002,S002-Q011,A2,P2,A2 vs Old under P2,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 6}",HURT,0,1,-1,3
S002,S002-Q011,A3,Baseline,A3 vs Old under Baseline,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 4}",UNCHANGED_HIT,0,0,-1,1
