Checkpoint,comparison,session_id,query_id,transition,before_gold_ranks,after_gold_ranks,promoted_gold,demoted_gold,top5_page_ids_identical
C0,C0 Hybrid vs Dense,S002,S002-Q065,UNCHANGED_HIT,"{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 1, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 10}","{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 4, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 28}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q066,HURT,"{""166328f1-a89c-5b18-8a53-02ac909e0849"": 1, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 9}","{""166328f1-a89c-5b18-8a53-02ac909e0849"": 6, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 12}",0,1,False
C0,C0 Hybrid vs Dense,S002,S002-Q070,UNCHANGED_MISS,"{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 37}","{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 35}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q007,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 1}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 3}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q011,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 3, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 2}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 4, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 3}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q013,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 7, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 2}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 1, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 2}",1,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q014,UNCHANGED_HIT,"{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 1}","{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 1}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q021,UNCHANGED_MISS,"{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 14}","{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 16}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q022,UNCHANGED_HIT,"{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 1, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 3}","{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 4, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 8}",0,1,False
C0,C0 Hybrid vs Dense,S003,S003-Q026,RESCUED,"{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 21, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 6}","{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 19, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 3}",1,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q028,HURT,"{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 2}","{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 6}",0,1,False
C0,C0 Hybrid vs Dense,S003,S003-Q033,UNCHANGED_MISS,"{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 19, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 17}","{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 8, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 22}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q035,UNCHANGED_MISS,"{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 11}","{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 21}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q039,HURT,"{""4ed05884-3478-5a91-a63f-3067fd41956d"": 4, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 29}","{""4ed05884-3478-5a91-a63f-3067fd41956d"": 11, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 22}",0,1,False
C0,C0 Hybrid vs Dense,S003,S003-Q042,UNCHANGED_MISS,"{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 12}","{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 28}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q044,RESCUED,"{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 37, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 22}","{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 32, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 3}",1,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q049,UNCHANGED_MISS,"{""2316a391-e779-530b-ac2f-055182347d32"": 25}","{""2316a391-e779-530b-ac2f-055182347d32"": 34}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q052,UNCHANGED_MISS,"{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 16, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 36}","{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 12, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 15}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q055,UNCHANGED_MISS,"{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 50, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 8}","{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 23, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 16}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q056,UNCHANGED_MISS,"{""59d896c1-0734-53cf-821a-5728dd5fe548"": 25}","{""59d896c1-0734-53cf-821a-5728dd5fe548"": 12}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q063,UNCHANGED_MISS,"{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 14}","{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 17}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q065,RESCUED,"{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 31, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 33}","{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 4, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 7}",1,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q066,UNCHANGED_MISS,"{""3e1cec0a-77e2-5463-865e-1f49b78e966c"": 6, ""e6b075df-0710-53c0-a850-a6bc715553b6"": 39}","{""3e1cec0a-77e2-5463-865e-1f49b78e966c"": 11, ""e6b075df-0710-53c0-a850-a6bc715553b6"": 45}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q070,UNCHANGED_MISS,"{""6e93a473-ae4a-524c-aee1-43aafd7f6bb0"": 6}","{""6e93a473-ae4a-524c-aee1-43aafd7f6bb0"": 8}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q077,UNCHANGED_MISS,"{""21f9ae05-f6a0-5cc5-af10-142d014dcf11"": 7, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 67, ""2fdaac5c-103c-5100-8480-7d15511a3658"": 26}","{""21f9ae05-f6a0-5cc5-af10-142d014dcf11"": 19, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 67, ""2fdaac5c-103c-5100-8480-7d15511a3658"": 28}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q078,UNCHANGED_MISS,"{""70584af0-da6d-5ee7-9e7c-ad3f962ef545"": 8, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 70}","{""70584af0-da6d-5ee7-9e7c-ad3f962ef545"": 19, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 70}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q084,UNCHANGED_MISS,"{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 68}","{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 68}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q088,UNCHANGED_MISS,"{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 75, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 22}","{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 75, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 23}",0,0,False
C0,C0 Hybrid vs Dense,S003,S003-Q091,HURT,"{""68d070f4-4242-579d-b5a8-83f3dc6283b3"": 27, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 4, ""ff75fe78-c1af-5b7a-a243-9648b6132a06"": 8}","{""68d070f4-4242-579d-b5a8-83f3dc6283b3"": 26, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 6, ""ff75fe78-c1af-5b7a-a243-9648b6132a06"": 24}",0,1,False
C0,C0 Hybrid vs Dense,S004,S004-Q007,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 2}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 2}",0,0,True
C0,C0 Hybrid vs Dense,S004,S004-Q011,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 6, ""75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4"": 1}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 5, ""75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4"": 2}",1,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q013,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 8, ""d876eb51-66ba-5437-955a-25c3f405ef2f"": 2}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 8, ""d876eb51-66ba-5437-955a-25c3f405ef2f"": 5}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q014,UNCHANGED_HIT,"{""a60bbf7a-8108-58fc-8b4a-1356764282aa"": 2}","{""a60bbf7a-8108-58fc-8b4a-1356764282aa"": 2}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q021,UNCHANGED_MISS,"{""112af49e-d51f-599c-ad67-5cc18432f1a8"": 11}","{""112af49e-d51f-599c-ad67-5cc18432f1a8"": 12}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q022,HURT,"{""1404aa4a-3c7a-565e-8e67-9f834683b3b2"": 9, ""1e8809d9-9426-51b9-9e17-039093174440"": 5}","{""1404aa4a-3c7a-565e-8e67-9f834683b3b2"": 6, ""1e8809d9-9426-51b9-9e17-039093174440"": 10}",0,1,False
C0,C0 Hybrid vs Dense,S004,S004-Q026,UNCHANGED_MISS,"{""7567fc91-4210-59bc-ac74-0cc3060edc83"": 22, ""fadb48cb-a45f-5f46-8f39-e18bd7dff4f1"": 15}","{""7567fc91-4210-59bc-ac74-0cc3060edc83"": 22, ""fadb48cb-a45f-5f46-8f39-e18bd7dff4f1"": 20}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q028,RESCUED,"{""f642437d-2d3c-5b95-a7f6-29f2e68c0a13"": 19}","{""f642437d-2d3c-5b95-a7f6-29f2e68c0a13"": 3}",1,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q033,HURT,"{""73b2fb55-c036-52ca-842e-cc784d317c61"": 2, ""dad4c589-bd44-5d61-917f-9435b971db4d"": 18}","{""73b2fb55-c036-52ca-842e-cc784d317c61"": 8, ""dad4c589-bd44-5d61-917f-9435b971db4d"": 6}",0,1,False
C0,C0 Hybrid vs Dense,S004,S004-Q035,UNCHANGED_MISS,"{""dad4c589-bd44-5d61-917f-9435b971db4d"": 6}","{""dad4c589-bd44-5d61-917f-9435b971db4d"": 11}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q039,UNCHANGED_MISS,"{""c022f180-c519-52a7-9c70-3f15928609b5"": 6, ""594016a4-b321-5143-a8c6-3923fed20111"": 21}","{""c022f180-c519-52a7-9c70-3f15928609b5"": 11, ""594016a4-b321-5143-a8c6-3923fed20111"": 27}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q042,UNCHANGED_MISS,"{""c61777d3-f94f-5655-9b6b-9d6cdc28c303"": 8}","{""c61777d3-f94f-5655-9b6b-9d6cdc28c303"": 23}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q044,RESCUED,"{""094486b7-1e86-5360-8005-66c6886152c2"": 40, ""682aecdf-197a-5dc6-b88d-886b08ffb500"": 14}","{""094486b7-1e86-5360-8005-66c6886152c2"": 34, ""682aecdf-197a-5dc6-b88d-886b08ffb500"": 5}",1,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q049,UNCHANGED_MISS,"{""08c5243c-c754-5bb1-b020-dfbf21f542d7"": 25}","{""08c5243c-c754-5bb1-b020-dfbf21f542d7"": 17}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q052,UNCHANGED_MISS,"{""682aecdf-197a-5dc6-b88d-886b08ffb500"": 17, ""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 38}","{""682aecdf-197a-5dc6-b88d-886b08ffb500"": 18, ""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 17}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q055,UNCHANGED_MISS,"{""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 49, ""90248870-b2cb-59d2-a707-79d09f366d8a"": 38}","{""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 38, ""90248870-b2cb-59d2-a707-79d09f366d8a"": 16}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q056,UNCHANGED_MISS,"{""adc1eeb8-b0f8-5877-88cf-abdd23798b3a"": 41}","{""adc1eeb8-b0f8-5877-88cf-abdd23798b3a"": 11}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q063,HURT,"{""2c5547ce-bd04-536c-8b2d-e09ae5633e53"": 2}","{""2c5547ce-bd04-536c-8b2d-e09ae5633e53"": 19}",0,1,False
C0,C0 Hybrid vs Dense,S004,S004-Q065,UNCHANGED_MISS,"{""ca05266e-320c-5081-9d2d-f7c8689c58a9"": 20, ""28de896e-9356-58a4-a8c5-c3efe7770f57"": 6}","{""ca05266e-320c-5081-9d2d-f7c8689c58a9"": 18, ""28de896e-9356-58a4-a8c5-c3efe7770f57"": 22}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q066,UNCHANGED_MISS,"{""52990abe-a81c-5937-b506-8a88315cc3c0"": 12, ""57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a"": 42}","{""52990abe-a81c-5937-b506-8a88315cc3c0"": 22, ""57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a"": 45}",0,0,False
C0,C0 Hybrid vs Dense,S004,S004-Q070,UNCHANGED_MISS,"{""2e530daf-4b7a-5b20-9fe7-9c23daee4af6"": 32}","{""2e530daf-4b7a-5b20-9fe7-9c23daee4af6"": 36}",0,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q007,UNCHANGED_HIT,"{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 2}","{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 3}",0,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q011,UNCHANGED_HIT,"{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 7, ""9c806b54-004f-57bf-8755-c4a0eebd929e"": 2}","{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 7, ""9c806b54-004f-57bf-8755-c4a0eebd929e"": 4}",0,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q013,UNCHANGED_HIT,"{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 9, ""6e436632-8d73-58b8-a746-7cbc36ffe10f"": 1}","{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 9, ""6e436632-8d73-58b8-a746-7cbc36ffe10f"": 1}",0,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q014,UNCHANGED_HIT,"{""c64751d6-21c8-5c09-87da-48f940293661"": 3}","{""c64751d6-21c8-5c09-87da-48f940293661"": 3}",0,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q021,UNCHANGED_MISS,"{""5095d8f5-e975-5011-976e-e587c31560f2"": 11}","{""5095d8f5-e975-5011-976e-e587c31560f2"": 11}",0,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q022,UNCHANGED_HIT,"{""bcb24496-086a-528b-a09e-86bae79fa560"": 1, ""c16509f9-dd00-5e11-9acf-ecc8f08ad424"": 16}","{""bcb24496-086a-528b-a09e-86bae79fa560"": 4, ""c16509f9-dd00-5e11-9acf-ecc8f08ad424"": 2}",1,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q026,UNCHANGED_HIT,"{""87d6b0ff-8b24-5176-ba24-dbc110c6e1d5"": 3, ""daf8b285-37ac-5e07-a640-74fc9322fe21"": 11}","{""87d6b0ff-8b24-5176-ba24-dbc110c6e1d5"": 9, ""daf8b285-37ac-5e07-a640-74fc9322fe21"": 2}",1,1,False
C0,C0 Hybrid vs Dense,S005,S005-Q028,UNCHANGED_MISS,"{""102b7fa7-9564-5e73-98e7-41fde776fa99"": 19}","{""102b7fa7-9564-5e73-98e7-41fde776fa99"": 22}",0,0,False
C0,C0 Hybrid vs Dense,S005,S005-Q033,HURT,"{""407824ab-fd2c-5a7b-ac60-4e9d2ed5311e"": 7, ""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 2}","{""407824ab-fd2c-5a7b-ac60-4e9d2ed5311e"": 9, ""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 6}",0,1,False
C0,C0 Hybrid vs Dense,S005,S005-Q035,UNCHANGED_MISS,"{""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 27}","{""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 24}",0,0,False
