query_id,gold_page_id,baseline_rank,baseline_hit5,best_fusion_candidate_k,best_fusion_strategy,candidate_rank_k15,candidate_hit5_k15,reranker_rank_k15,reranker_hit5_k15,k15__RF0_reranker_only__rank,k15__RF0_reranker_only__hit5,k15__RF1_equal_rrf_c20__rank,k15__RF1_equal_rrf_c20__hit5,k15__RF1_equal_rrf_c60__rank,k15__RF1_equal_rrf_c60__hit5,k15__RF1_equal_rrf_c100__rank,k15__RF1_equal_rrf_c100__hit5,k15__RF2_reranker_weight_1.5__rank,k15__RF2_reranker_weight_1.5__hit5,k15__RF2_reranker_weight_2__rank,k15__RF2_reranker_weight_2__hit5,k15__RF2_reranker_weight_3__rank,k15__RF2_reranker_weight_3__hit5,k15__RF2_reranker_weight_4__rank,k15__RF2_reranker_weight_4__hit5,k15__RF3_candidate_weight_1.5__rank,k15__RF3_candidate_weight_1.5__hit5,k15__RF3_candidate_weight_2__rank,k15__RF3_candidate_weight_2__hit5,k15__SF0_candidate_0.2_reranker_0.8__rank,k15__SF0_candidate_0.2_reranker_0.8__hit5,k15__SF1_candidate_0.3_reranker_0.7__rank,k15__SF1_candidate_0.3_reranker_0.7__hit5,k15__SF2_candidate_0.4_reranker_0.6__rank,k15__SF2_candidate_0.4_reranker_0.6__hit5,k15__SF3_candidate_0.5_reranker_0.5__rank,k15__SF3_candidate_0.5_reranker_0.5__hit5,k15__PR1_candidate_top2_protection__rank,k15__PR1_candidate_top2_protection__hit5,k15__PR1_candidate_top3_protection__rank,k15__PR1_candidate_top3_protection__hit5,candidate_rank_k20,candidate_hit5_k20,reranker_rank_k20,reranker_hit5_k20,k20__RF0_reranker_only__rank,k20__RF0_reranker_only__hit5,k20__RF1_equal_rrf_c20__rank,k20__RF1_equal_rrf_c20__hit5,k20__RF1_equal_rrf_c60__rank,k20__RF1_equal_rrf_c60__hit5,k20__RF1_equal_rrf_c100__rank,k20__RF1_equal_rrf_c100__hit5,k20__RF2_reranker_weight_1.5__rank,k20__RF2_reranker_weight_1.5__hit5,k20__RF2_reranker_weight_2__rank,k20__RF2_reranker_weight_2__hit5,k20__RF2_reranker_weight_3__rank,k20__RF2_reranker_weight_3__hit5,k20__RF2_reranker_weight_4__rank,k20__RF2_reranker_weight_4__hit5,k20__RF3_candidate_weight_1.5__rank,k20__RF3_candidate_weight_1.5__hit5,k20__RF3_candidate_weight_2__rank,k20__RF3_candidate_weight_2__hit5,k20__SF0_candidate_0.2_reranker_0.8__rank,k20__SF0_candidate_0.2_reranker_0.8__hit5,k20__SF1_candidate_0.3_reranker_0.7__rank,k20__SF1_candidate_0.3_reranker_0.7__hit5,k20__SF2_candidate_0.4_reranker_0.6__rank,k20__SF2_candidate_0.4_reranker_0.6__hit5,k20__SF3_candidate_0.5_reranker_0.5__rank,k20__SF3_candidate_0.5_reranker_0.5__hit5,k20__PR1_candidate_top2_protection__rank,k20__PR1_candidate_top2_protection__hit5,k20__PR1_candidate_top3_protection__rank,k20__PR1_candidate_top3_protection__hit5,best_fusion_rank,best_fusion_hit5,movement_category
S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,4,True,20,PR1_candidate_top2_protection,2,True,13,False,13,False,4,True,6,False,6,False,10,False,11,False,11,False,12,False,3,True,2,True,10,False,3,True,3,True,2,True,2,True,2,True,2,True,17,False,17,False,6,False,8,False,9,False,12,False,13,False,13,False,14,False,5,True,3,True,11,False,5,True,3,True,2,True,2,True,2,True,2,True,RECOVERED_DEMOTED_GOLD
S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,2,True,20,PR1_candidate_top2_protection,5,True,14,False,14,False,8,False,9,False,9,False,10,False,10,False,12,False,13,False,8,False,8,False,7,False,7,False,7,False,7,False,14,False,14,False,5,True,14,False,14,False,8,False,9,False,9,False,10,False,10,False,12,False,13,False,8,False,8,False,7,False,7,False,7,False,7,False,14,False,14,False,14,False,UNCHANGED
S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,True,20,PR1_candidate_top2_protection,3,True,3,True,3,True,3,True,3,True,3,True,2,True,2,True,3,True,3,True,3,True,3,True,2,True,2,True,2,True,2,True,4,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,2,True,2,True,3,True,3,True,3,True,3,True,3,True,2,True,2,True,2,True,4,True,3,True,4,True,PRESERVED_HIT
S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,False,20,PR1_candidate_top2_protection,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,23,False,STILL_MISS
S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,False,20,PR1_candidate_top2_protection,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,20,False,20,False,20,False,20,False,20,False,20,False,20,False,20,False,20,False,19,False,19,False,20,False,19,False,19,False,19,False,20,False,20,False,20,False,STILL_MISS
S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,True,20,PR1_candidate_top2_protection,2,True,5,True,5,True,2,True,2,True,2,True,2,True,3,True,3,True,4,True,2,True,2,True,3,True,4,True,4,True,4,True,2,True,2,True,2,True,5,True,5,True,2,True,2,True,2,True,2,True,3,True,3,True,4,True,2,True,2,True,3,True,4,True,4,True,4,True,2,True,2,True,2,True,PRESERVED_HIT
S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,False,20,PR1_candidate_top2_protection,15,False,9,False,9,False,13,False,13,False,13,False,12,False,12,False,12,False,11,False,13,False,13,False,13,False,13,False,14,False,15,False,10,False,10,False,15,False,11,False,11,False,13,False,13,False,13,False,13,False,13,False,13,False,13,False,14,False,14,False,14,False,14,False,14,False,15,False,12,False,12,False,12,False,STILL_MISS
S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,False,20,PR1_candidate_top2_protection,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,16,False,15,False,15,False,16,False,16,False,16,False,15,False,14,False,15,False,15,False,16,False,16,False,17,False,16,False,16,False,16,False,15,False,15,False,15,False,STILL_MISS
S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,15,False,20,PR1_candidate_top2_protection,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,18,False,15,False,15,False,18,False,18,False,18,False,17,False,17,False,16,False,16,False,19,False,19,False,19,False,19,False,18,False,18,False,15,False,15,False,15,False,STILL_MISS
S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,False,20,PR1_candidate_top2_protection,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,26,False,STILL_MISS
S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,13,False,20,PR1_candidate_top2_protection,15,False,2,True,2,True,6,False,6,False,6,False,5,True,4,True,4,True,4,True,12,False,12,False,4,True,4,True,4,True,4,True,3,True,4,True,15,False,2,True,2,True,5,True,6,False,6,False,5,True,4,True,4,True,4,True,10,False,12,False,3,True,4,True,4,True,4,True,3,True,4,True,3,True,PRESERVED_HIT
