candidate_representation,candidate_k,query_id,gold_page_id,dense_rank,bm25_rank,dense_hit,bm25_hit,union_hit,category
P0,15,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,7,True,True,True,BOTH
P0,15,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,22,False,False,False,NEITHER
P0,15,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,8,False,True,True,BM25_ONLY
P0,15,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,6,True,True,True,BOTH
P0,15,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,20,True,False,True,DENSE_ONLY
P0,15,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,30,True,False,True,DENSE_ONLY
P0,15,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,15,19,True,False,True,DENSE_ONLY
P0,15,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,20,False,False,False,NEITHER
P0,15,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,13,21,True,False,True,DENSE_ONLY
P0,20,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,True,True,True,BOTH
P0,20,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,7,True,True,True,BOTH
P0,20,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,1,True,True,True,BOTH
P0,20,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,9,True,True,True,BOTH
P0,20,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,7,True,True,True,BOTH
P0,20,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,4,True,True,True,BOTH
P0,20,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,6,15,True,True,True,BOTH
P0,20,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,16,12,True,True,True,BOTH
P0,20,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,13,17,True,True,True,BOTH
P0,20,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,12,False,True,True,BM25_ONLY
P0,20,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,4,3,True,True,True,BOTH
P0,20,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,2,14,True,True,True,BOTH
P0,20,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,7,True,True,True,BOTH
P0,20,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,22,True,False,True,DENSE_ONLY
P0,20,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,8,False,True,True,BM25_ONLY
P0,20,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,6,True,True,True,BOTH
P0,20,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,20,True,True,True,BOTH
P0,20,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,30,True,False,True,DENSE_ONLY
P0,20,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,15,19,True,True,True,BOTH
P0,20,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,20,False,True,True,BM25_ONLY
P0,20,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,13,21,True,False,True,DENSE_ONLY
P0,30,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,True,True,True,BOTH
P0,30,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,7,True,True,True,BOTH
P0,30,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,1,True,True,True,BOTH
P0,30,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,9,True,True,True,BOTH
P0,30,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,7,True,True,True,BOTH
P0,30,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,4,True,True,True,BOTH
P0,30,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,6,15,True,True,True,BOTH
P0,30,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,16,12,True,True,True,BOTH
P0,30,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,13,17,True,True,True,BOTH
P0,30,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,12,True,True,True,BOTH
P0,30,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,4,3,True,True,True,BOTH
P0,30,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,2,14,True,True,True,BOTH
P0,30,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,7,True,True,True,BOTH
P0,30,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,22,True,True,True,BOTH
P0,30,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,8,True,True,True,BOTH
P0,30,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,6,True,True,True,BOTH
P0,30,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,20,True,True,True,BOTH
P0,30,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,30,True,True,True,BOTH
P0,30,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,15,19,True,True,True,BOTH
P0,30,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,20,True,True,True,BOTH
P0,30,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,13,21,True,True,True,BOTH
P8,10,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,True,True,True,BOTH
P8,10,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,4,True,True,True,BOTH
P8,10,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,1,True,True,True,BOTH
P8,10,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,7,True,True,True,BOTH
P8,10,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,6,True,True,True,BOTH
P8,10,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,3,True,True,True,BOTH
P8,10,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,7,16,True,False,True,DENSE_ONLY
P8,10,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,15,7,False,True,True,BM25_ONLY
P8,10,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,8,16,True,False,True,DENSE_ONLY
P8,10,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,13,False,False,False,NEITHER
P8,10,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,3,4,True,True,True,BOTH
P8,10,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,3,8,True,True,True,BOTH
P8,10,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,1,7,True,True,True,BOTH
P8,10,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,21,13,False,False,False,NEITHER
P8,10,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,24,15,False,False,False,NEITHER
P8,10,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,2,7,True,True,True,BOTH
P8,10,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,19,False,False,False,NEITHER
P8,10,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,24,True,False,True,DENSE_ONLY
P8,10,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,13,24,False,False,False,NEITHER
P8,10,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,11,False,False,False,NEITHER
P8,10,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,7,19,True,False,True,DENSE_ONLY
P8,15,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,True,True,True,BOTH
P8,15,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,4,True,True,True,BOTH
P8,15,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,1,True,True,True,BOTH
P8,15,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,7,True,True,True,BOTH
P8,15,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,6,True,True,True,BOTH
P8,15,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,3,True,True,True,BOTH
P8,15,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,7,16,True,False,True,DENSE_ONLY
P8,15,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,15,7,True,True,True,BOTH
P8,15,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,8,16,True,False,True,DENSE_ONLY
P8,15,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,13,False,True,True,BM25_ONLY
P8,15,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,3,4,True,True,True,BOTH
P8,15,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,3,8,True,True,True,BOTH
P8,15,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,1,7,True,True,True,BOTH
P8,15,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,21,13,False,True,True,BM25_ONLY
P8,15,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,24,15,False,True,True,BM25_ONLY
P8,15,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,2,7,True,True,True,BOTH
P8,15,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,19,True,False,True,DENSE_ONLY
P8,15,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,24,True,False,True,DENSE_ONLY
P8,15,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,13,24,True,False,True,DENSE_ONLY
P8,15,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,11,False,True,True,BM25_ONLY
P8,15,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,7,19,True,False,True,DENSE_ONLY
P8,20,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,True,True,True,BOTH
P8,20,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,4,True,True,True,BOTH
P8,20,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,1,True,True,True,BOTH
P8,20,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,7,True,True,True,BOTH
P8,20,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,6,True,True,True,BOTH
P8,20,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,3,True,True,True,BOTH
P8,20,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,7,16,True,True,True,BOTH
P8,20,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,15,7,True,True,True,BOTH
P8,20,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,8,16,True,True,True,BOTH
P8,20,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,13,False,True,True,BM25_ONLY
P8,20,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,3,4,True,True,True,BOTH
P8,20,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,3,8,True,True,True,BOTH
P8,20,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,1,7,True,True,True,BOTH
P8,20,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,21,13,False,True,True,BM25_ONLY
P8,20,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,24,15,False,True,True,BM25_ONLY
P8,20,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,2,7,True,True,True,BOTH
P8,20,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,19,True,True,True,BOTH
P8,20,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,24,True,False,True,DENSE_ONLY
P8,20,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,13,24,True,False,True,DENSE_ONLY
P8,20,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,11,False,True,True,BM25_ONLY
P8,20,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,7,19,True,True,True,BOTH
P8,30,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,True,True,True,BOTH
P8,30,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,4,True,True,True,BOTH
P8,30,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,1,True,True,True,BOTH
P8,30,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,7,True,True,True,BOTH
P8,30,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,6,True,True,True,BOTH
P8,30,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,3,True,True,True,BOTH
P8,30,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,7,16,True,True,True,BOTH
P8,30,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,15,7,True,True,True,BOTH
P8,30,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,8,16,True,True,True,BOTH
P8,30,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,13,True,True,True,BOTH
P8,30,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,3,4,True,True,True,BOTH
P8,30,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,3,8,True,True,True,BOTH
P8,30,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,1,7,True,True,True,BOTH
P8,30,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,21,13,True,True,True,BOTH
P8,30,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,24,15,True,True,True,BOTH
P8,30,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,2,7,True,True,True,BOTH
P8,30,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,19,True,True,True,BOTH
P8,30,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,24,True,True,True,BOTH
P8,30,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,13,24,True,True,True,BOTH
P8,30,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,11,True,True,True,BOTH
P8,30,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,7,19,True,True,True,BOTH
