comparison,session_id,query_id,transition,before_gold_ranks,after_gold_ranks,promoted_gold,demoted_gold,top5_page_ids_identical,Model,Type
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q049,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 15}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q007,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 2}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q011,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 2}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q013,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 9, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 8, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 4}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q014,UNCHANGED_MISS,"{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 6}","{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 10}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q021,RESCUED,"{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 15}","{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 2}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q022,UNCHANGED_MISS,"{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 11, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 7}","{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 11, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 18}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q026,RESCUED,"{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 8, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 10}","{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 4, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 17}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q028,UNCHANGED_HIT,"{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 2}","{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q033,HURT,"{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 2, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 22, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 12}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q035,RESCUED,"{""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""893b3ae9-1f94-5436-8c6d-54e200693867"": 4}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q039,UNCHANGED_HIT,"{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 13, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 2}","{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 30, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q042,UNCHANGED_MISS,"{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 12}","{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 11}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q044,HURT,"{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 39, ""647fce0c-6320-5a98-819d-50dff3300582"": 4}","{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 17, ""647fce0c-6320-5a98-819d-50dff3300582"": 30}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q049,UNCHANGED_HIT,"{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 4}","{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q052,HURT,"{""647fce0c-6320-5a98-819d-50dff3300582"": 1, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 15}","{""647fce0c-6320-5a98-819d-50dff3300582"": 14, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 35}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q055,UNCHANGED_MISS,"{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 16, ""2e583969-bc65-5074-a7fe-0424438cd092"": 12}","{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 36, ""2e583969-bc65-5074-a7fe-0424438cd092"": 11}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q056,UNCHANGED_MISS,"{""e40ec65e-2907-515a-b1dd-3bec39109106"": 36}","{""e40ec65e-2907-515a-b1dd-3bec39109106"": 34}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q063,RESCUED,"{""3549589e-05fe-5631-9385-5379f8dd4396"": 11}","{""3549589e-05fe-5631-9385-5379f8dd4396"": 4}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q065,HURT,"{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 1, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 6}","{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 46, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 10}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q066,UNCHANGED_HIT,"{""166328f1-a89c-5b18-8a53-02ac909e0849"": 1, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 11}","{""166328f1-a89c-5b18-8a53-02ac909e0849"": 2, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 16}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q070,RESCUED,"{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 11}","{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 2}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q007,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 2}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q011,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 4, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 1}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 1, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 3}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q013,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 6, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 5}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 3, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 5}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q014,HURT,"{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 1}","{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 10}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q021,UNCHANGED_MISS,"{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 7}","{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 14}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q022,UNCHANGED_HIT,"{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 1, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 3}","{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 3, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q026,UNCHANGED_MISS,"{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 15, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 7}","{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 17, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 16}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q028,RESCUED,"{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 6}","{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 3}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q033,RESCUED,"{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 12, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 21}","{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 10, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 1}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q035,RESCUED,"{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 17}","{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 1}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q039,HURT,"{""4ed05884-3478-5a91-a63f-3067fd41956d"": 2, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 29}","{""4ed05884-3478-5a91-a63f-3067fd41956d"": 16, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 26}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q042,RESCUED,"{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 6}","{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 2}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q044,RESCUED,"{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 33, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 15}","{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 32, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 4}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q049,UNCHANGED_MISS,"{""2316a391-e779-530b-ac2f-055182347d32"": 22}","{""2316a391-e779-530b-ac2f-055182347d32"": 13}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q052,UNCHANGED_MISS,"{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 10, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 15}","{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 6, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 12}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q055,UNCHANGED_MISS,"{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 41, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 11}","{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 28, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 8}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q056,HURT,"{""59d896c1-0734-53cf-821a-5728dd5fe548"": 3}","{""59d896c1-0734-53cf-821a-5728dd5fe548"": 15}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q063,UNCHANGED_MISS,"{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 19}","{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 9}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q065,UNCHANGED_MISS,"{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 18, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 14}","{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 18, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 14}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q066,HURT,"{""3e1cec0a-77e2-5463-865e-1f49b78e966c"": 1, ""e6b075df-0710-53c0-a850-a6bc715553b6"": 18}","{""3e1cec0a-77e2-5463-865e-1f49b78e966c"": 42, ""e6b075df-0710-53c0-a850-a6bc715553b6"": 53}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q070,HURT,"{""6e93a473-ae4a-524c-aee1-43aafd7f6bb0"": 4}","{""6e93a473-ae4a-524c-aee1-43aafd7f6bb0"": 10}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q077,UNCHANGED_MISS,"{""21f9ae05-f6a0-5cc5-af10-142d014dcf11"": 16, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 54, ""2fdaac5c-103c-5100-8480-7d15511a3658"": 24}","{""21f9ae05-f6a0-5cc5-af10-142d014dcf11"": 29, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 17, ""2fdaac5c-103c-5100-8480-7d15511a3658"": 18}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q078,UNCHANGED_HIT,"{""70584af0-da6d-5ee7-9e7c-ad3f962ef545"": 5, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 47}","{""70584af0-da6d-5ee7-9e7c-ad3f962ef545"": 3, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 13}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q084,UNCHANGED_MISS,"{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 30}","{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 50}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q088,UNCHANGED_MISS,"{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 12, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 48}","{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 20, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 41}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q091,HURT,"{""68d070f4-4242-579d-b5a8-83f3dc6283b3"": 22, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 3, ""ff75fe78-c1af-5b7a-a243-9648b6132a06"": 23}","{""68d070f4-4242-579d-b5a8-83f3dc6283b3"": 25, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 22, ""ff75fe78-c1af-5b7a-a243-9648b6132a06"": 50}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q007,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 3}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 2}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q011,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 7, ""75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4"": 1}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 5, ""75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4"": 1}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q013,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 8, ""d876eb51-66ba-5437-955a-25c3f405ef2f"": 5}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 3, ""d876eb51-66ba-5437-955a-25c3f405ef2f"": 6}",1,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q014,HURT,"{""a60bbf7a-8108-58fc-8b4a-1356764282aa"": 2}","{""a60bbf7a-8108-58fc-8b4a-1356764282aa"": 9}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q021,UNCHANGED_MISS,"{""112af49e-d51f-599c-ad67-5cc18432f1a8"": 11}","{""112af49e-d51f-599c-ad67-5cc18432f1a8"": 13}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q022,UNCHANGED_HIT,"{""1404aa4a-3c7a-565e-8e67-9f834683b3b2"": 3, ""1e8809d9-9426-51b9-9e17-039093174440"": 4}","{""1404aa4a-3c7a-565e-8e67-9f834683b3b2"": 3, ""1e8809d9-9426-51b9-9e17-039093174440"": 5}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q026,UNCHANGED_MISS,"{""7567fc91-4210-59bc-ac74-0cc3060edc83"": 18, ""fadb48cb-a45f-5f46-8f39-e18bd7dff4f1"": 14}","{""7567fc91-4210-59bc-ac74-0cc3060edc83"": 9, ""fadb48cb-a45f-5f46-8f39-e18bd7dff4f1"": 6}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q028,UNCHANGED_MISS,"{""f642437d-2d3c-5b95-a7f6-29f2e68c0a13"": 8}","{""f642437d-2d3c-5b95-a7f6-29f2e68c0a13"": 11}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q033,HURT,"{""73b2fb55-c036-52ca-842e-cc784d317c61"": 5, ""dad4c589-bd44-5d61-917f-9435b971db4d"": 19}","{""73b2fb55-c036-52ca-842e-cc784d317c61"": 9, ""dad4c589-bd44-5d61-917f-9435b971db4d"": 13}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q035,HURT,"{""dad4c589-bd44-5d61-917f-9435b971db4d"": 3}","{""dad4c589-bd44-5d61-917f-9435b971db4d"": 19}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q039,UNCHANGED_HIT,"{""c022f180-c519-52a7-9c70-3f15928609b5"": 4, ""594016a4-b321-5143-a8c6-3923fed20111"": 21}","{""c022f180-c519-52a7-9c70-3f15928609b5"": 15, ""594016a4-b321-5143-a8c6-3923fed20111"": 2}",1,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q042,HURT,"{""c61777d3-f94f-5655-9b6b-9d6cdc28c303"": 4}","{""c61777d3-f94f-5655-9b6b-9d6cdc28c303"": 21}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q044,UNCHANGED_MISS,"{""094486b7-1e86-5360-8005-66c6886152c2"": 40, ""682aecdf-197a-5dc6-b88d-886b08ffb500"": 28}","{""094486b7-1e86-5360-8005-66c6886152c2"": 24, ""682aecdf-197a-5dc6-b88d-886b08ffb500"": 26}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q049,UNCHANGED_MISS,"{""08c5243c-c754-5bb1-b020-dfbf21f542d7"": 22}","{""08c5243c-c754-5bb1-b020-dfbf21f542d7"": 13}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q052,UNCHANGED_MISS,"{""682aecdf-197a-5dc6-b88d-886b08ffb500"": 36, ""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 17}","{""682aecdf-197a-5dc6-b88d-886b08ffb500"": 36, ""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 37}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q055,UNCHANGED_MISS,"{""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 25, ""90248870-b2cb-59d2-a707-79d09f366d8a"": 33}","{""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 42, ""90248870-b2cb-59d2-a707-79d09f366d8a"": 31}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q056,HURT,"{""adc1eeb8-b0f8-5877-88cf-abdd23798b3a"": 3}","{""adc1eeb8-b0f8-5877-88cf-abdd23798b3a"": 22}",0,1,False,qcsun/financial-embedding,金融
