query_id,gold_page_id,gold_source_turn_id,候选 Add Prompt,Query 检索方式,Gold movement,Production rank,Candidate rank,TASK_added,TASK_lost,TASK_preserved,SUBJECT_added,SUBJECT_lost,SUBJECT_preserved,TIME_added,TIME_lost,TIME_preserved,INDICATOR_added,INDICATOR_lost,INDICATOR_preserved,NUMBER_added,NUMBER_lost,NUMBER_preserved,STATE_added,STATE_lost,STATE_preserved,RELATION_added,RELATION_lost,RELATION_preserved,DEPENDENCY_added,DEPENDENCY_lost,DEPENDENCY_preserved,EVIDENCE_LIMIT_added,EVIDENCE_LIMIT_lost,EVIDENCE_LIMIT_preserved,KEYWORD_added,KEYWORD_lost,KEYWORD_preserved,JUDGMENT_added,JUDGMENT_lost,JUDGMENT_preserved
S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,多检索入口保留 Add Prompt,原始问题直接检索,DEMOTED,4,7,[],"[""可复算性"", ""验证""]","[""判断修订"", ""原因解释"", ""反证检验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验""]",[],[],"[""贵州茅台""]",[],"[""2023年"", ""2024年""]","[""2023"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母股东权益"", ""营业收入""]","[""1476.94"", ""1688.38"", ""1708.99"", ""2156.69"", ""2331.06"", ""2446.38""]","[""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2024""]","[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""17"", ""2023"", ""2025"", ""2026""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""修订"", ""反证"", ""同比""]",[],[],"[""REVISION""]",[],"[""口径限制"", ""来源限制""]","[""信息缺口""]","[""反证"", ""同比""]","[""反证检验"", ""表述修正""]","[""2023-2025"", ""先升后降"", ""归母股东权益"", ""营业收入"", ""贵州茅台"", ""连续上升""]",[],[],"[""修订"", ""判断"", ""确认"", ""结论""]"
S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,任务 + 证据链保留 Add Prompt,原始问题直接检索,DEMOTED,4,12,[],"[""可复算性"", ""验证""]","[""判断修订"", ""原因解释"", ""反证检验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母股东权益"", ""营业收入""]",[],[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]","[""拐点""]",[],"[""先升后降"", ""连续上升""]",[],[],"[""修订"", ""反证"", ""同比""]",[],[],"[""REVISION""]",[],"[""信息缺口"", ""来源限制""]","[""口径限制""]","[""反证""]","[""反证检验""]","[""2023-2025"", ""先升后降"", ""归母股东权益"", ""营业收入"", ""表述修正"", ""贵州茅台"", ""连续上升""]",[],"[""确认""]","[""修订"", ""判断"", ""结论""]"
S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,最小改动 Add Prompt,原始问题直接检索,DEMOTED,3,6,"[""现金质量"", ""盈利质量""]",[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""效率判断"", ""来源核验""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]","[""扣非归母净利润"", ""经营活动现金流净额""]",[],"[""归母股东权益"", ""营业收入""]",[],[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],[],"[""口径限制"", ""来源限制""]",[],[],"[""2023-2025"", ""同比"", ""增长质量"", ""归母股东权益"", ""盈利可持续性"", ""营业收入"", ""贵州茅台"", ""资本回报""]","[""支持""]",[],"[""判断"", ""结论""]"
S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,最小改动 Add Prompt,上下文引用解析后检索,DEMOTED,3,6,"[""现金质量"", ""盈利质量""]",[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""效率判断"", ""来源核验""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]","[""扣非归母净利润"", ""经营活动现金流净额""]",[],"[""归母股东权益"", ""营业收入""]",[],[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],[],"[""口径限制"", ""来源限制""]",[],[],"[""2023-2025"", ""同比"", ""增长质量"", ""归母股东权益"", ""盈利可持续性"", ""营业收入"", ""贵州茅台"", ""资本回报""]","[""支持""]",[],"[""判断"", ""结论""]"
S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,多检索入口保留 Add Prompt,原始问题直接检索,DEMOTED,3,8,[],[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""效率判断"", ""来源核验""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母股东权益"", ""营业收入""]",[],[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]","[""拐点""]",[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],[],"[""口径限制"", ""来源限制""]","[""2024年拐点""]","[""同比""]","[""2023-2025"", ""增长质量"", ""归母股东权益"", ""盈利可持续性"", ""营业收入"", ""贵州茅台"", ""资本回报""]",[],[],"[""判断"", ""结论""]"
S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,多检索入口保留 Add Prompt,上下文引用解析后检索,DEMOTED,3,8,[],[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""效率判断"", ""来源核验""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母股东权益"", ""营业收入""]",[],[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]","[""拐点""]",[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],[],"[""口径限制"", ""来源限制""]","[""2024年拐点""]","[""同比""]","[""2023-2025"", ""增长质量"", ""归母股东权益"", ""盈利可持续性"", ""营业收入"", ""贵州茅台"", ""资本回报""]",[],[],"[""判断"", ""结论""]"
S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,多检索入口保留 Add Prompt,原始问题直接检索,PROMOTED,6,4,"[""原因解释""]",[],"[""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""拐点"", ""连续上升""]",[],[],"[""同比""]",[],[],"[""CONTINUATION"", ""PREVIOUS_TURN""]",[],[],"[""口径限制"", ""来源限制""]","[""2023-2025"", ""同比""]","[""2023-2025财年"", ""同比分析""]","[""先升后降"", ""年度拐点"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""连续上升""]","[""判断""]",[],"[""结论""]"
S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,多检索入口保留 Add Prompt,上下文引用解析后检索,PROMOTED,6,4,"[""原因解释""]",[],"[""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""拐点"", ""连续上升""]",[],[],"[""同比""]",[],[],"[""CONTINUATION"", ""PREVIOUS_TURN""]",[],[],"[""口径限制"", ""来源限制""]","[""2023-2025"", ""同比""]","[""2023-2025财年"", ""同比分析""]","[""先升后降"", ""年度拐点"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""连续上升""]","[""判断""]",[],"[""结论""]"
S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,最小改动 Add Prompt,原始问题直接检索,PROMOTED,6,5,"[""信息缺口""]",[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],"[""口径限制""]","[""信息缺口""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]","[""确认""]","[""判断""]","[""结论""]"
S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,最小改动 Add Prompt,上下文引用解析后检索,PROMOTED,6,5,"[""信息缺口""]",[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],"[""口径限制""]","[""信息缺口""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]","[""确认""]","[""判断""]","[""结论""]"
S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,最小改动 Add Prompt,原始问题直接检索,DEMOTED,5,7,[],[],"[""判断修订"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""总资产"", ""扣非归母净利润"", ""营业收入""]",[],"[""1225114731""]","[""+15.38%"", ""+15.71%"", ""-1.21%"", ""-4.53%"", ""04"", ""1476.94"", ""1688.38"", ""17"", ""1708.99"", ""2023"", ""2025"", ""2026"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],"[""REVISION""]","[""口径限制""]",[],"[""来源限制""]","[""年报""]","[""先升后降""]","[""2023-2025"", ""同比"", ""归母净利润"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""贵州茅台""]",[],[],"[""判断"", ""结论""]"
