comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,1,1,0,0.5790305137634277,0.5790305137634277,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,22,2,0.481160044670105,0.473826140165329,-0.007333904504776001
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,28,27,1,0.38158416748046875,0.3680773973464966,-0.013506770133972168
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,3,2,1,0.4954995810985565,0.480811208486557,-0.014688372611999512
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,11,11,0,0.47005659341812134,0.4457177221775055,-0.024338871240615845
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,6,6,0,0.5241630673408508,0.5146355032920837,-0.00952756404876709
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,15,13,2,0.3848148584365845,0.3700389564037323,-0.014775902032852173
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,29,29,0,0.33526238799095154,0.32037386298179626,-0.014888525009155273
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,7,4,0.578639566898346,0.578639566898346,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.33832451701164246,0.34298837184906006,0.0046638548374176025
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,6,6,0,0.3450709879398346,0.3413403332233429,-0.0037306547164916992
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,3,3,0,0.39141926169395447,0.37575939297676086,-0.015659868717193604
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,9,0,0.3315993845462799,0.32812708616256714,-0.0034722983837127686
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,5,0,0.4067201018333435,0.3842492699623108,-0.022470831871032715
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,3,2,1,0.5073203444480896,0.5023150444030762,-0.005005300045013428
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,13,13,0,0.6465377807617188,0.6465377807617188,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,4,5,-1,0.7392288446426392,0.7392288446426392,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,11,10,1,0.7118639945983887,0.716547966003418,0.004683971405029297
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,6,5,1,0.6949954628944397,0.6946507096290588,-0.0003447532653808594
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,9,6,3,0.6865124702453613,0.6944811344146729,0.007968664169311523
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,1,1,0,0.7722225189208984,0.7604641318321228,-0.011758387088775635
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,4,7,-3,0.7509975433349609,0.7178303003311157,-0.033167243003845215
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,18,-7,0.713391900062561,0.6920939683914185,-0.021297931671142578
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,9,13,-4,0.7331233620643616,0.7089992165565491,-0.0241241455078125
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,12,20,-8,0.6947563290596008,0.670292317867279,-0.024464011192321777
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,1,1,0,0.7444234490394592,0.7399280667304993,-0.004495382308959961
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,4,8,-4,0.7403774261474609,0.7203973531723022,-0.01998007297515869
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,40,40,0,0.6301290988922119,0.5999258160591125,-0.030203282833099365
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,11,8,3,0.7112532258033752,0.7159684896469116,0.004715263843536377
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,5,5,0,0.6977245211601257,0.6782107353210449,-0.01951378583908081
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,2,4,-2,0.5538139343261719,0.5293612480163574,-0.024452686309814453
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5,2,3,0.5295715928077698,0.5401365160942078,0.010564923286437988
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5,3,2,0.5195465087890625,0.5129621028900146,-0.0065844058990478516
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,13,14,-1,0.49913787841796875,0.48240727186203003,-0.01673060655593872
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,34,36,-2,0.34421661496162415,0.32679107785224915,-0.017425537109375
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,22,21,1,0.5971355438232422,0.589687705039978,-0.00744783878326416
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,2,4,-2,0.6259294748306274,0.6045119762420654,-0.02141749858856201
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,20,21,-1,0.5521422624588013,0.5474259257316589,-0.004716336727142334
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,2,-1,0.5971285104751587,0.589398980140686,-0.007729530334472656
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,17,16,1,0.5194598436355591,0.5096244812011719,-0.009835362434387207
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,37,38,-1,0.397605299949646,0.387101948261261,-0.01050335168838501
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,1,1,0,0.379559189081192,0.379559189081192,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,3,3,0,0.48598748445510864,0.48598748445510864,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,2,2,0,0.5139684081077576,0.4898799657821655,-0.02408844232559204
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,4,2,0.5126270651817322,0.5126270651817322,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,2,2,0,0.5747253894805908,0.5747253894805908,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,1,0,0.5515123605728149,0.53214430809021,-0.01936805248260498
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,16,16,0,0.5892691612243652,0.5904460549354553,0.0011768937110900879
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,2,-1,0.6130992770195007,0.5966485142707825,-0.01645076274871826
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,5,4,1,0.5816531181335449,0.5688185691833496,-0.012834548950195312
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,21,22,-1,0.5282919406890869,0.5070880055427551,-0.021203935146331787
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,14,12,2,0.5923358201980591,0.5923358201980591,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,1,3,-2,0.576715350151062,0.5461347103118896,-0.030580639839172363
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,15,18,-3,0.5715498924255371,0.5550172924995422,-0.016532599925994873
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,13,8,5,0.5745879411697388,0.5747966766357422,0.00020873546600341797
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,7,4,3,0.5711592435836792,0.5783875584602356,0.0072283148765563965
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,6,5,1,0.6036669015884399,0.6036669015884399,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,23,22,1,0.5550810694694519,0.5441630482673645,-0.010918021202087402
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,12,13,-1,0.5011759996414185,0.4891461133956909,-0.012029886245727539
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,37,36,1,0.4009627103805542,0.3934038579463959,-0.007558852434158325
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,22,25,-3,0.44993260502815247,0.4307812452316284,-0.019151359796524048
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,24,23,1,0.4596657156944275,0.45140403509140015,-0.008261680603027344
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,9,14,-5,0.5820356011390686,0.5564486980438232,-0.02558690309524536
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,36,30,6,0.5231873989105225,0.5231873989105225,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,50,47,3,0.37348851561546326,0.37348851561546326,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,8,12,-4,0.46663036942481995,0.44182002544403076,-0.024810343980789185
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,31,32,-1,0.4262303411960602,0.41626694798469543,-0.009963393211364746
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,14,9,5,0.4297245442867279,0.42312347888946533,-0.006601065397262573
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,31,25,6,0.39131271839141846,0.37926557660102844,-0.012047141790390015
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,33,37,-4,0.38522154092788696,0.3632930517196655,-0.021928489208221436
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,4,3,1,0.43042296171188354,0.41051343083381653,-0.019909530878067017
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,40,51,-11,0.3276005685329437,0.29562583565711975,-0.031974732875823975
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,6,9,-3,0.414590060710907,0.3894318640232086,-0.025158196687698364
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,3,3,0,0.6059978604316711,0.6016440987586975,-0.004353761672973633
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,70,68,2,0.4838413596153259,0.48190993070602417,-0.0019314289093017578
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,13,12,1,0.5801041722297668,0.5801041722297668,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,8,11,-3,0.5034888386726379,0.4860905706882477,-0.01739826798439026
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,70,67,3,0.4027944803237915,0.39956092834472656,-0.0032335519790649414
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,65,65,0,0.591045081615448,0.591045081615448,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,77,71,6,0.46810901165008545,0.46810901165008545,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,49,55,-6,0.5106472373008728,0.4926305413246155,-0.018016695976257324
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,27,42,-15,0.4808177053928375,0.4523945152759552,-0.028423190116882324
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,4,7,-3,0.5210726857185364,0.49667441844940186,-0.02439826726913452
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,8,6,2,0.5104248523712158,0.49849802255630493,-0.011926829814910889
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,2,2,0,0.34884536266326904,0.34884536266326904,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,6,5,1,0.5032122135162354,0.5032122135162354,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,1,0,0.6697136163711548,0.6550297737121582,-0.014683842658996582
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,8,9,-1,0.5841162204742432,0.5841162204742432,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,3,3,0,0.6438205242156982,0.6438205242156982,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,2,2,0,0.5726082921028137,0.5671404600143433,-0.005467832088470459
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,11,11,0,0.692194402217865,0.686536967754364,-0.0056574344635009766
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,2,4,-2,0.7001541256904602,0.6916772723197937,-0.008476853370666504
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,5,2,3,0.6944717764854431,0.6987475752830505,0.004275798797607422
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q026,7567fc91-4210-59bc-ac74-0cc3060edc83,S004-Q014,20,20,0,0.7142356634140015,0.7200430631637573,0.005807399749755859
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q026,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,9,8,1,0.760407030582428,0.7618130445480347,0.0014060139656066895
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,S004-Q022,6,7,-1,0.8024743795394897,0.7928401231765747,-0.009634256362915039
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,S004-Q023,11,10,1,0.64728182554245,0.6493917107582092,0.0021098852157592773
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,19,13,6,0.6189761161804199,0.6327906847000122,0.013814568519592285
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q035,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,5,4,1,0.547675609588623,0.548301637172699,0.0006260275840759277
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,S004-Q027,5,4,1,0.5342302918434143,0.5423502326011658,0.008119940757751465
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q039,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,21,26,-5,0.484050452709198,0.4620527923107147,-0.021997660398483276
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q042,c61777d3-f94f-5655-9b6b-9d6cdc28c303,S004-Q036,8,13,-5,0.4934537410736084,0.4741957187652588,-0.01925802230834961
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q044,094486b7-1e86-5360-8005-66c6886152c2,S004-Q034,40,40,0,0.2810294032096863,0.27026888728141785,-0.010760515928268433
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,14,17,-3,0.3666878044605255,0.33823418617248535,-0.02845361828804016
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q049,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,38,40,-2,0.4834827780723572,0.4690209627151489,-0.014461815357208252
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q052,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,12,19,-7,0.6159032583236694,0.5910895466804504,-0.024813711643218994
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q052,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,38,40,-2,0.5637668371200562,0.5559502840042114,-0.007816553115844727
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,49,48,1,0.46873435378074646,0.4561978578567505,-0.012536495923995972
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q055,90248870-b2cb-59d2-a707-79d09f366d8a,S004-Q051,43,46,-3,0.48429518938064575,0.4706211984157562,-0.013673990964889526
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,39,36,3,0.5155000686645508,0.5160598754882812,0.0005598068237304688
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,S004-Q057,2,1,1,0.5229606032371521,0.511449933052063,-0.011510670185089111
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q065,ca05266e-320c-5081-9d2d-f7c8689c58a9,S004-Q053,20,23,-3,0.42018499970436096,0.39788442850112915,-0.02230057120323181
