session_id,source_turn_id,old_keywords,new_keywords,added_keywords,lost_keywords,preserved_keywords,keyword_jaccard,exact_ordered_match
S001,S001-Q011,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025年"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""同比"", ""先升后降""]","[""2023-2025年"", ""总资产""]","[""2023-2025"", ""连续上升""]","[""先升后降"", ""同比"", ""归母净利润"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q012,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升"", ""增长质量""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升"", ""增长质量""]",[],[],"[""2023-2025"", ""先升后降"", ""同比"", ""增长质量"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""连续上升""]",1.0,True
S001,S001-Q013,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""同比"", ""年度拐点"", ""年报"", ""权益研究员""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""同比"", ""年度拐点"", ""年报"", ""财务分析""]","[""财务分析""]","[""权益研究员""]","[""2023-2025"", ""同比"", ""年度拐点"", ""年报"", ""归母净利润"", ""总资产"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q014,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""扣非净利润"", ""营业收入"", ""同比"", ""持续经营"", ""年报""]","[""贵州茅台"", ""2023-2025"", ""扣非净利润"", ""归母净利润"", ""营业收入"", ""归母股东权益"", ""总资产"", ""同比分析""]","[""同比分析"", ""归母股东权益"", ""总资产""]","[""同比"", ""年报"", ""持续经营""]","[""2023-2025"", ""归母净利润"", ""扣非净利润"", ""营业收入"", ""贵州茅台""]",0.45454545454545453,False
S001,S001-Q015,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升"", ""年度报告""]",[],[],"[""2023-2025"", ""先升后降"", ""同比"", ""年度报告"", ""归母股东权益"", ""营业收入"", ""贵州茅台"", ""连续上升""]",1.0,True
S001,S001-Q016,"[""贵州茅台"", ""2023-2025"", ""盈利指标"", ""归母净利润"", ""总资产"", ""同比"", ""数据缺口"", ""权益研究员""]","[""贵州茅台"", ""2023-2025"", ""盈利指标"", ""归母净利润"", ""总资产"", ""先升后降"", ""连续上升"", ""同比""]","[""先升后降"", ""连续上升""]","[""数据缺口"", ""权益研究员""]","[""2023-2025"", ""同比"", ""归母净利润"", ""总资产"", ""盈利指标"", ""贵州茅台""]",0.6,False
S001,S001-Q017,"[""贵州茅台"", ""2023-2025"", ""基期选择"", ""归母净利润"", ""总资产"", ""同比"", ""盈利叙事"", ""修订""]","[""贵州茅台"", ""2023-2025"", ""基期选择"", ""归母净利润"", ""总资产"", ""同比"", ""盈利叙事"", ""年报""]","[""年报""]","[""修订""]","[""2023-2025"", ""同比"", ""基期选择"", ""归母净利润"", ""总资产"", ""盈利叙事"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q018,"[""贵州茅台"", ""2023-2025财年"", ""反证检验"", ""营业收入"", ""归母股东权益"", ""同比"", ""年度报告"", ""权益研究员""]","[""贵州茅台"", ""2023-2025财年"", ""反向验证"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升""]","[""先升后降"", ""反向验证"", ""连续上升""]","[""反证检验"", ""年度报告"", ""权益研究员""]","[""2023-2025财年"", ""同比"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.45454545454545453,False
S001,S001-Q019,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""先升后降"", ""连续上升"", ""反证检验"", ""表述修正""]","[""贵州茅台"", ""2023-2025财年"", ""营业收入"", ""归母股东权益"", ""先升后降"", ""连续上升"", ""反证"", ""表述降级""]","[""2023-2025财年"", ""反证"", ""表述降级""]","[""2023-2025"", ""反证检验"", ""表述修正""]","[""先升后降"", ""归母股东权益"", ""营业收入"", ""贵州茅台"", ""连续上升""]",0.45454545454545453,False
S001,S001-Q020,"[""贵州茅台"", ""2023-2025"", ""盈利分析"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""先升后降"", ""连续上升"", ""同比"", ""年报""]","[""年报""]","[""盈利分析""]","[""2023-2025"", ""先升后降"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""连续上升""]",0.7777777777777778,False
S001,S001-Q021,"[""贵州茅台"", ""2023-2025"", ""经营现金流"", ""归母净利润"", ""总资产"", ""同比"", ""权益研究员"", ""盈利质量""]","[""贵州茅台"", ""2023-2025"", ""经营现金流"", ""归母净利润"", ""总资产"", ""权益研究员"", ""盈利质量"", ""年度报告""]","[""年度报告""]","[""同比""]","[""2023-2025"", ""归母净利润"", ""总资产"", ""权益研究员"", ""盈利质量"", ""经营现金流"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q022,"[""贵州茅台"", ""2023-2025"", ""现金流路径"", ""归母股东权益"", ""营业收入"", ""同比"", ""拐点"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""现金流路径"", ""归母股东权益"", ""营业收入"", ""同比"", ""拐点"", ""年度报告""]",[],[],"[""2023-2025"", ""同比"", ""年度报告"", ""归母股东权益"", ""拐点"", ""现金流路径"", ""营业收入"", ""贵州茅台""]",1.0,True
S001,S001-Q023,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""现金流"", ""归母净利润"", ""错位"", ""营业收入"", ""归母股东权益"", ""同比""]","[""现金流"", ""错位""]","[""先升后降"", ""连续上升""]","[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q024,"[""贵州茅台"", ""2023-2025"", ""现金流与净利润比率"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""现金流与净利润比率"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]",[],[],"[""2023-2025"", ""先升后降"", ""同比"", ""归母净利润"", ""总资产"", ""现金流与净利润比率"", ""贵州茅台"", ""连续上升""]",1.0,True
S001,S001-Q025,"[""贵州茅台"", ""2023-2025"", ""年报原数"", ""同比增速"", ""总资产"", ""归母净利润"", ""年度拐点"", ""近似周转率""]","[""贵州茅台"", ""2023-2025"", ""年报原数"", ""同比"", ""总资产"", ""归母净利润"", ""营业收入"", ""归母股东权益""]","[""同比"", ""归母股东权益"", ""营业收入""]","[""同比增速"", ""年度拐点"", ""近似周转率""]","[""2023-2025"", ""年报原数"", ""归母净利润"", ""总资产"", ""贵州茅台""]",0.45454545454545453,False
S001,S001-Q026,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母股东权益"", ""营业收入"", ""同比"", ""错位"", ""效率""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""营业收入"", ""归母股东权益"", ""现金错位"", ""效率问题"", ""同比""]","[""效率问题"", ""现金错位""]","[""效率"", ""错位""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""总资产"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q027,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""增长质量"", ""盈利可持续性"", ""资本回报"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""增长质量"", ""盈利可持续性"", ""资本回报"", ""同比""]",[],[],"[""2023-2025"", ""同比"", ""增长质量"", ""归母股东权益"", ""盈利可持续性"", ""营业收入"", ""贵州茅台"", ""资本回报""]",1.0,True
S001,S001-Q028,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""反证"", ""现金质量"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""先升后降"", ""连续上升"", ""反证"", ""现金质量""]",[],[],"[""2023-2025"", ""先升后降"", ""反证"", ""归母净利润"", ""总资产"", ""现金质量"", ""贵州茅台"", ""连续上升""]",1.0,False
S001,S001-Q029,"[""贵州茅台"", ""2023-2025"", ""现金风险排序"", ""归母净利润"", ""总资产"", ""同比"", ""边际变化"", ""三年路径""]","[""贵州茅台"", ""2023-2025"", ""现金风险排序"", ""归母净利润"", ""总资产"", ""边际变化"", ""三年路径"", ""同比""]",[],[],"[""2023-2025"", ""三年路径"", ""同比"", ""归母净利润"", ""总资产"", ""现金风险排序"", ""贵州茅台"", ""边际变化""]",1.0,False
S001,S001-Q030,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比"", ""反证"", ""阶段小结""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升"", ""反证""]","[""先升后降"", ""连续上升""]","[""归母净利润"", ""阶段小结""]","[""2023-2025"", ""反证"", ""同比"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q031,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""营业收入"", ""归母股东权益"", ""同比"", ""年度报告"", ""资产效率""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升""]","[""先升后降"", ""连续上升""]","[""年度报告"", ""资产效率""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""总资产"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q032,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""股东权益"", ""归母净利润"", ""同比"", ""同步性"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升"", ""不同步""]","[""不同步"", ""先升后降"", ""连续上升""]","[""同步性"", ""年度报告"", ""股东权益""]","[""2023-2025"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台""]",0.45454545454545453,False
S001,S001-Q033,"[""贵州茅台"", ""2023-2025"", ""近似杠杆"", ""总资产"", ""归母净利润"", ""同比"", ""权益"", ""年报""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""近似杠杆"", ""同比拆分"", ""连续上升"", ""先升后降""]","[""先升后降"", ""同比拆分"", ""连续上升""]","[""同比"", ""年报"", ""权益""]","[""2023-2025"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""近似杠杆""]",0.45454545454545453,False
S001,S001-Q034,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""总资产"", ""归母股东权益"", ""同比"", ""增长质量"", ""缺口""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""资产增长"", ""规模支撑"", ""同比"", ""证据缺口""]","[""规模支撑"", ""证据缺口"", ""资产增长""]","[""增长质量"", ""总资产"", ""缺口""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.45454545454545453,False
S001,S001-Q035,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""方向不一致"", ""效率判断"", ""同比"", ""拐点""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""方向不一致"", ""效率判断"", ""同比"", ""先升后降""]","[""先升后降""]","[""拐点""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""效率判断"", ""方向不一致"", ""营业收入"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q036,"[""贵州茅台"", ""2023-2025财年"", ""归母净利润"", ""总资产"", ""年度拐点"", ""同比分析"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025财年"", ""归母净利润"", ""总资产"", ""年度拐点"", ""同比变化"", ""完整财年数据"", ""矛盾识别""]","[""同比变化"", ""完整财年数据"", ""矛盾识别""]","[""先升后降"", ""同比分析"", ""连续上升""]","[""2023-2025财年"", ""年度拐点"", ""归母净利润"", ""总资产"", ""贵州茅台""]",0.45454545454545453,False
S001,S001-Q037,"[""贵州茅台"", ""2023-2025"", ""资产扩张"", ""归母净利润"", ""总资产"", ""同比"", ""反证检验"", ""年报""]","[""贵州茅台"", ""2023-2025"", ""资产扩张"", ""归母净利润"", ""总资产"", ""同比"", ""增长质量"", ""资本回报""]","[""增长质量"", ""资本回报""]","[""反证检验"", ""年报""]","[""2023-2025"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""资产扩张""]",0.6,False
S001,S001-Q038,"[""贵州茅台"", ""2023-2025"", ""资产端风险"", ""营业收入"", ""归母股东权益"", ""同比"", ""资产扩张"", ""风险排序""]","[""贵州茅台"", ""2023-2025"", ""资产端风险"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""同比""]","[""归母净利润"", ""总资产""]","[""资产扩张"", ""风险排序""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""营业收入"", ""贵州茅台"", ""资产端风险""]",0.6,False
S001,S001-Q039,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""先升后降"", ""连续上升"", ""管理层问询"", ""权益研究员""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""先升后降"", ""连续上升"", ""管理层问询"", ""可核实问题""]","[""可核实问题""]","[""权益研究员""]","[""2023-2025"", ""先升后降"", ""归母股东权益"", ""管理层问询"", ""营业收入"", ""贵州茅台"", ""连续上升""]",0.7777777777777778,False
S001,S001-Q040,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""先升后降"", ""连续上升"", ""同比"", ""综合判断""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降""]","[""归母股东权益"", ""营业收入""]","[""综合判断"", ""连续上升""]","[""2023-2025"", ""先升后降"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台""]",0.6,False
S001,S001-Q041,"[""贵州茅台"", ""2023-2025"", ""来源追溯"", ""总资产"", ""归母净利润"", ""同比"", ""冲突"", ""公开披露""]","[""贵州茅台"", ""2023-2025"", ""年度报告"", ""来源追溯"", ""总资产"", ""归母净利润"", ""同比"", ""冲突""]","[""年度报告""]","[""公开披露""]","[""2023-2025"", ""冲突"", ""同比"", ""归母净利润"", ""总资产"", ""来源追溯"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q042,"[""贵州茅台"", ""2023-2025"", ""三年比较"", ""口径差异"", ""营业收入"", ""归母股东权益"", ""同比"", ""公开来源""]","[""贵州茅台"", ""2023-2025"", ""三年比较数"", ""口径差异"", ""归母股东权益"", ""营业收入"", ""同比"", ""年度报告""]","[""三年比较数"", ""年度报告""]","[""三年比较"", ""公开来源""]","[""2023-2025"", ""口径差异"", ""同比"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q043,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""原始披露"", ""派生计算"", ""分析判断""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""年报原数"", ""派生计算"", ""分析判断""]","[""年报原数""]","[""原始披露""]","[""2023-2025"", ""分析判断"", ""同比"", ""归母股东权益"", ""派生计算"", ""营业收入"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q044,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同比"", ""证据强度"", ""口径限制"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""营业收入"", ""归母股东权益"", ""同比"", ""证据强度""]","[""归母股东权益"", ""营业收入""]","[""口径限制"", ""年度报告""]","[""2023-2025"", ""同比"", ""归母净利润"", ""总资产"", ""证据强度"", ""贵州茅台""]",0.6,False
S001,S001-Q045,"[""贵州茅台"", ""2023-2025"", ""信息缺口"", ""总资产"", ""归母净利润"", ""同比"", ""2024年拐点"", ""年报摘要""]","[""贵州茅台"", ""2023-2025"", ""年度报告摘要"", ""总资产"", ""归母净利润"", ""信息缺口"", ""2024年中间点"", ""同比""]","[""2024年中间点"", ""年度报告摘要""]","[""2024年拐点"", ""年报摘要""]","[""2023-2025"", ""信息缺口"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台""]",0.6,False
S001,S001-Q046,"[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""营业收入"", ""先升后降"", ""连续上升"", ""同比"", ""年报摘要""]","[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""营业收入"", ""同比"", ""拐点"", ""信息缺口"", ""修订判断""]","[""信息缺口"", ""修订判断"", ""拐点""]","[""先升后降"", ""年报摘要"", ""连续上升""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.45454545454545453,False
S001,S001-Q047,"[""贵州茅台"", ""2023-2025"", ""反证检验"", ""营业收入"", ""归母股东权益"", ""同比"", ""边际变化"", ""三年路径""]","[""贵州茅台"", ""2023-2025"", ""反证检验"", ""营业收入"", ""归母股东权益"", ""归母净利润"", ""总资产"", ""同比变化""]","[""同比变化"", ""归母净利润"", ""总资产""]","[""三年路径"", ""同比"", ""边际变化""]","[""2023-2025"", ""反证检验"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",0.45454545454545453,False
S002,S002-Q001,"[""贵州茅台"", ""2023-2025"", ""财务变化"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""财务变化"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]",1.0,True
S002,S002-Q002,"[""贵州茅台"", ""2023-2025"", ""年报来源"", ""单位"", ""三年比较口径"", ""营业收入"", ""归母净利润"", ""先升后降""]","[""贵州茅台"", ""2023-2025"", ""年报来源"", ""营业收入"", ""归母净利润"", ""同比"", ""先升后降"", ""内控审计""]","[""内控审计"", ""同比""]","[""三年比较口径"", ""单位""]","[""2023-2025"", ""先升后降"", ""年报来源"", ""归母净利润"", ""营业收入"", ""贵州茅台""]",0.6,False
S002,S002-Q003,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""先升后降"", ""同比"", ""年报"", ""内控审计""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比"", ""先升后降""]","[""归母股东权益"", ""总资产""]","[""内控审计"", ""年报""]","[""2023-2025"", ""先升后降"", ""同比"", ""归母净利润"", ""营业收入"", ""贵州茅台""]",0.6,False
S002,S002-Q004,"[""贵州茅台"", ""2023-2025"", ""收入"", ""利润"", ""同步性"", ""总资产"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""同步性"", ""总资产"", ""归母股东权益"", ""同比""]","[""归母净利润"", ""营业收入""]","[""利润"", ""收入""]","[""2023-2025"", ""同步性"", ""同比"", ""归母股东权益"", ""总资产"", ""贵州茅台""]",0.6,False
S002,S002-Q005,"[""贵州茅台"", ""2023-2025"", ""拐点"", ""归母股东权益"", ""总资产"", ""营业收入"", ""归母净利润"", ""年度同比""]","[""贵州茅台"", ""2023-2025"", ""拐点"", ""归母股东权益"", ""总资产"", ""营业收入"", ""归母净利润"", ""年度报告""]","[""年度报告""]","[""年度同比""]","[""2023-2025"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""拐点"", ""营业收入"", ""贵州茅台""]",0.7777777777777778,False
S002,S002-Q006,"[""贵州茅台"", ""2023-2025"", ""盈利趋势"", ""扣非净利润"", ""营业收入"", ""归母净利润"", ""同比"", ""先升后降""]","[""贵州茅台"", ""2023-2025"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""归母净利润"", ""同比"", ""先升后降""]",[],[],"[""2023-2025"", ""先升后降"", ""同比"", ""归母净利润"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""贵州茅台""]",1.0,False
S002,S002-Q007,"[""贵州茅台"", ""2023-2025"", ""盈利质量"", ""经营现金流"", ""归母净利润"", ""营业收入"", ""同比"", ""先升后降""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""同比"", ""先升后降"", ""经营现金流"", ""盈利质量""]",[],[],"[""2023-2025"", ""先升后降"", ""同比"", ""归母净利润"", ""盈利质量"", ""经营现金流"", ""营业收入"", ""贵州茅台""]",1.0,False
S002,S002-Q008,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母股东权益"", ""营业收入"", ""归母净利润"", ""资产扩张"", ""经营结果""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母股东权益"", ""营业收入"", ""归母净利润"", ""资产扩张"", ""经营结果""]",[],[],"[""2023-2025"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""经营结果"", ""营业收入"", ""贵州茅台"", ""资产扩张""]",1.0,True
S002,S002-Q009,"[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""总资产"", ""同比"", ""权益积累"", ""年报"", ""内控审计""]","[""贵州茅台"", ""2023-2025"", ""股东权益"", ""总资产"", ""归母净利润"", ""营业收入"", ""同比"", ""连续上升""]","[""归母净利润"", ""股东权益"", ""营业收入"", ""连续上升""]","[""内控审计"", ""年报"", ""归母股东权益"", ""权益积累""]","[""2023-2025"", ""同比"", ""总资产"", ""贵州茅台""]",0.3333333333333333,False
S002,S002-Q010,"[""贵州茅台"", ""2023-2025财年"", ""内控测试记录"", ""营业收入"", ""归母净利润"", ""先升后降"", ""同比"", ""年度报告""]","[""贵州茅台"", ""2023-2025财年"", ""内控测试记录"", ""营业收入"", ""归母净利润"", ""先升后降"", ""同比"", ""总资产""]","[""总资产""]","[""年度报告""]","[""2023-2025财年"", ""先升后降"", ""内控测试记录"", ""同比"", ""归母净利润"", ""营业收入"", ""贵州茅台""]",0.7777777777777778,False
S002,S002-Q011,"[""贵州茅台"", ""2023-2025"", ""财务分析"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""年报追溯"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]","[""年报追溯""]","[""财务分析""]","[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""贵州茅台""]",0.7777777777777778,False
