session_id,query_id,original_query,gold_page_ids,baseline_actual_embedding_text,baseline_hit5,baseline_gold_ranks,baseline_gold_scores,P0_resolved_query,P0_actual_embedding_text,P0_changed,P0_hit5,P0_transition,P0_gold_ranks,P0_gold_scores,P2_resolved_query,P2_actual_embedding_text,P2_changed,P2_hit5,P2_transition,P2_gold_ranks,P2_gold_scores,P4_resolved_query,P4_actual_embedding_text,P4_changed,P4_hit5,P4_transition,P4_gold_ranks,P4_gold_scores
S001,S001-Q039,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,"[""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""c107828c-a741-55f6-8e0c-446cfbdba215""]",如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,True,"[3, 11]","[0.49549949169158936, 0.4700566232204437]",如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,False,True,UNCHANGED_HIT,"[3, 11]","[0.49549949169158936, 0.4700566232204437]",如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,False,True,UNCHANGED_HIT,"[3, 11]","[0.49549949169158936, 0.4700566232204437]",如果要向管理层追问，前面的总资产和归母股东权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,如果要向管理层追问，前面的总资产和归母股东权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,True,True,UNCHANGED_HIT,"[7, 5]","[0.5278671979904175, 0.5357486009597778]"
S001,S001-Q042,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,"[""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc""]",刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,False,[6],[0.524163007736206],刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,False,False,UNCHANGED_MISS,[6],[0.524163007736206],刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,False,False,UNCHANGED_MISS,[6],[0.524163007736206],刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,False,False,UNCHANGED_MISS,[6],[0.524163007736206]
S001,S001-Q044,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,"[""32b5d492-2df9-5ed9-ac46-caca5c87097c"", ""4054aab2-0aa7-5019-b341-077265511add""]",刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,False,"[15, 29]","[0.38481488823890686, 0.335262268781662]",刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,False,False,UNCHANGED_MISS,"[15, 29]","[0.38481488823890686, 0.335262268781662]",刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,False,False,UNCHANGED_MISS,"[15, 29]","[0.38481488823890686, 0.335262268781662]",刚才的“原始披露、派生计算、分析判断”三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,刚才的“原始披露、派生计算、分析判断”三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,True,False,UNCHANGED_MISS,"[22, 27]","[0.35572490096092224, 0.34784814715385437]"
S001,S001-Q049,如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,"[""de592e81-e050-536b-8909-32866c85f6c2""]",如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,False,[13],[0.4355660080909729],如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,False,False,UNCHANGED_MISS,[13],[0.4355660080909729],如果把刚才的风险点（归母净利润呈先升后降，总资产呈连续上升）交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问（反证检验）的关系。,如果把刚才的风险点（归母净利润呈先升后降，总资产呈连续上升）交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问（反证检验）的关系。,True,False,UNCHANGED_MISS,[11],[0.5786396265029907],如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,False,False,UNCHANGED_MISS,[13],[0.4355660080909729]
S002,S002-Q007,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,"[""f70d87dd-c4b9-59de-a761-869308b1818b""]",既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,True,[3],[0.33832457661628723],既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,False,True,UNCHANGED_HIT,[3],[0.3383246064186096],既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,False,True,UNCHANGED_HIT,[3],[0.3383246064186096],既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,False,True,UNCHANGED_HIT,[3],[0.3383246064186096]
S002,S002-Q011,前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,"[""f70d87dd-c4b9-59de-a761-869308b1818b"", ""03c3981b-3b09-56ca-a545-043c8ff0d240""]",前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,True,"[6, 3]","[0.3450709879398346, 0.3914191424846649]",前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,False,True,UNCHANGED_HIT,"[6, 3]","[0.3450709879398346, 0.3914192020893097]",前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,False,True,UNCHANGED_HIT,"[6, 3]","[0.3450709879398346, 0.3914192020893097]",前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,False,True,UNCHANGED_HIT,"[6, 3]","[0.3450709879398346, 0.3914192020893097]"
S002,S002-Q013,沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,"[""f70d87dd-c4b9-59de-a761-869308b1818b"", ""a6c0000c-f234-59a1-b6e5-1283680d9b77""]",沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,True,"[9, 5]","[0.33159926533699036, 0.4067200720310211]",沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,False,True,UNCHANGED_HIT,"[9, 5]","[0.3315993845462799, 0.4067201614379883]",沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,False,True,UNCHANGED_HIT,"[9, 5]","[0.3315993845462799, 0.4067201614379883]",沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,False,True,UNCHANGED_HIT,"[9, 5]","[0.3315993845462799, 0.4067201614379883]"
S002,S002-Q014,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,"[""37d568b0-90c6-5481-b7d9-e0101fd95e52""]",刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,True,[3],[0.5073202252388],刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,False,True,UNCHANGED_HIT,[3],[0.5073203444480896],刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,False,True,UNCHANGED_HIT,[3],[0.5073203444480896],刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,False,True,UNCHANGED_HIT,[3],[0.5073203444480896]
S002,S002-Q021,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,"[""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e""]",前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,False,[13],[0.6465378403663635],前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,False,False,UNCHANGED_MISS,[13],[0.6465377807617188],前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,False,False,UNCHANGED_MISS,[13],[0.6465377807617188],前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,False,False,UNCHANGED_MISS,[13],[0.6465377807617188]
S002,S002-Q022,刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,"[""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""b304ab57-b911-5070-88ba-fca4f39a37e8""]",刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,True,"[4, 11]","[0.7317522764205933, 0.6958172917366028]",刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,False,True,UNCHANGED_HIT,"[4, 11]","[0.731752336025238, 0.6958174109458923]",刚才看了营业收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,刚才看了营业收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,True,True,UNCHANGED_HIT,"[4, 11]","[0.7392288446426392, 0.7118639945983887]",刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,False,True,UNCHANGED_HIT,"[4, 11]","[0.731752336025238, 0.6958174109458923]"
