session_id,query_id,prompt,original_query,resolved_query,state_content_additions,state_content_items,added_spans
S001,S001-Q049,P2,如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,如果把刚才的风险点（归母净利润呈先升后降，总资产呈连续上升）交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问（反证检验）的关系。,2,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}, {""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润呈先升后降，总资产呈连续上升）"", ""start"": 9, ""end"": 30}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（反证检验）"", ""start"": 72, ""end"": 78}]"
S002,S002-Q007,P2,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请把两段同比分开，不要合成一个趋势词。,0,[],[]
S002,S002-Q011,P2,前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露。,0,[],[]
S002,S002-Q013,P2,沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请从当前岗位最关心的证据开始回答。,0,[],[]
S002,S002-Q014,P2,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；不要只比较2023年和2025年两个端点。,0,[],[]
S002,S002-Q021,P2,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,0,[],[]
S002,S002-Q022,P2,刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,刚才看了营业收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证，在贵州茅台这组三年数字中具体怎么体现？,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""营业"", ""start"": 4, ""end"": 6}]"
S002,S002-Q026,P2,刚才几个盈利指标如果给出不同信号，应该怎样调和，而不是挑一个有利数字；如果证据不足，直接说明缺口，不要补估计值，在贵州茅台这组三年数字中具体怎么体现？,刚才几个盈利指标如果给出不同信号，应该怎样调和，而不是挑一个有利数字；如果证据不足，直接说明缺口，不要补估计值，在贵州茅台这组三年数字中具体怎么体现？,0,[],[]
S002,S002-Q028,P2,我想反过来验证上一轮结论，哪一项已披露数字最可能削弱它；请用完整财年数据回答，不加入季度信息，在贵州茅台这组三年数字中具体怎么体现？,我想反过来验证上一轮结论（归母净利润呈先升后降，营业收入呈先升后降），哪一项已披露数字最可能削弱它；请用完整财年数据回答，不加入季度信息，在贵州茅台这组三年数字中具体怎么体现？,1,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润呈先升后降，营业收入呈先升后降）"", ""start"": 12, ""end"": 34}]"
S002,S002-Q033,P2,把上一轮现金流与归母净利润逐年配对，两者在哪一年错位最明显；如果指标方向不同，请保留这种冲突，在贵州茅台这组三年数字中具体怎么体现？,把上一轮现金流与归母净利润逐年配对，两者在哪一年错位最明显；如果指标方向不同，请保留这种冲突，在贵州茅台这组三年数字中具体怎么体现？,0,[],[]
S002,S002-Q035,P2,刚才的现金错位如果只看2025年，会不会夸大或掩盖三年趋势；请明确哪些是年报原数、哪些是计算结果，在贵州茅台这组三年数字中具体怎么体现？,刚才的现金错位（上一轮现金流与归母净利润逐年配对中错位最明显的年度）如果只看2025年，会不会夸大或掩盖三年趋势；请明确哪些是年报原数、哪些是计算结果，在贵州茅台这组三年数字中具体怎么体现？,1,"[{""surface_text"": ""错位"", ""canonical"": null, ""detection_methods"": [""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": null}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（上一轮现金流与归母净利润逐年配对中错位最明显的年度）"", ""start"": 7, ""end"": 34}]"
S002,S002-Q039,P2,结合刚才的支持证据和反证，现金相关风险应该怎样排序；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,结合刚才的支持证据和反证，现金相关风险应该怎样排序；请区分最新一年的边际变化和完整三年路径，在贵州茅台这组三年数字中具体怎么体现？,0,[],[]
S002,S002-Q042,P2,刚才看到资产变化后，再看股东权益，两者的扩张或收缩是否同步；请先给结论，再说明三年依据，在贵州茅台这组三年数字中具体怎么体现？,刚才看到总资产变化后，再看归母股东权益，总资产与归母股东权益的扩张或收缩是否同步；请先给结论，再说明三年依据，在贵州茅台这组三年数字中具体怎么体现？,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""总"", ""start"": 4, ""end"": 5}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""归母"", ""start"": 13, ""end"": 15}, {""tag"": ""replace"", ""original_span"": ""两者"", ""resolved_span"": ""总资产与归母股东权益"", ""start"": 20, ""end"": 30}]"
S002,S002-Q044,P2,把前面的营业收入接回来，资产变化有没有得到规模增长支撑；如果证据不足，直接说明缺口，不要补估计值，在贵州茅台这组三年数字中具体怎么体现？,把前面的营业收入接回来，资产变化有没有得到规模增长支撑；如果证据不足，直接说明缺口，不要补估计值，在贵州茅台这组三年数字中具体怎么体现？,0,[],[]
S002,S002-Q049,P2,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答，在贵州茅台这组三年数字中具体怎么体现？,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答，在贵州茅台这组三年数字中具体怎么体现？,0,[],[]
S002,S002-Q052,P2,结合上一轮和更早的盈利、现金结论，能否连成一条不跳步的证据链；把结论写得可以回到公开来源复算。,结合上一轮和更早的盈利、现金结论，能否连成一条不跳步的证据链；把结论写得可以回到公开来源复算。,0,[],[]
S002,S002-Q055,P2,修订后重新区分事实、计算与判断，前面各轮的信息有没有被混在一起；把2024年这个中间点也保留下来。,修订后重新区分事实、计算与判断，前面各轮的信息有没有被混在一起；把2024年这个中间点也保留下来。,0,[],[]
S002,S002-Q056,P2,接着审查表达强度，哪些结论只能说“显示”而不能说“证明”；结论要能直接接到下一轮继续追问。,接着审查表达强度，哪些结论只能说“显示”而不能说“证明”；结论要能直接接到下一轮继续追问。,0,[],[]
S002,S002-Q063,P2,结合上一轮的冲突，前面哪句话需要明确修订；如果前面的判断需要修订，请直接指出。,结合上一轮关于营业收入呈先升后降、归母净利润呈先升后降的冲突，前面关于总资产呈连续上升、归母股东权益呈连续上升的判断中哪句话需要明确修订；如果前面的判断需要修订，请直接指出。,2,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}, {""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""CONTEXT_SUPPORTED_BUT_NOT_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""关于营业收入呈先升后降、归母净利润呈先升后降"", ""start"": 5, ""end"": 27}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""关于总资产呈连续上升、归母股东权益呈连续上升的判断中"", ""start"": 33, ""end"": 59}]"
S002,S002-Q065,P2,接着用一个可复算比率检查刚才的基期判断，但不要把近似值当正式指标。,接着用一个可复算比率检查刚才的基期判断（总资产呈连续上升，归母股东权益呈连续上升），但不要把近似值当正式指标。,1,"[{""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（总资产呈连续上升，归母股东权益呈连续上升）"", ""start"": 19, ""end"": 41}]"
S002,S002-Q066,P2,把上一轮的计算放回证据层级，它属于披露事实还是分析工具；先说明能确认的事实，再说还不能确认的原因。,把上一轮的计算（营业收入/期末总资产的近似周转检查）放回证据层级，它属于披露事实还是分析工具；先说明能确认的事实，再说还不能确认的原因。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（营业收入/期末总资产的近似周转检查）"", ""start"": 7, ""end"": 26}]"
S002,S002-Q070,P2,把这一轮质疑、修订和仍未解决的矛盾汇总成一段正式结论；把结论写得可以回到公开来源复算。,把这一轮质疑、修订和仍未解决的矛盾汇总成一段正式结论；把结论写得可以回到公开来源复算。,0,[],[]
S003,S003-Q007,P2,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；把口径限制放在结论里，不要另作假设。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；把口径限制放在结论里，不要另作假设。,0,[],[]
S003,S003-Q011,P2,前面的利润和现金已经梳理过了，接下来检查总资产的三年变化；回答时同时保留一项可能的反证。,前面的利润和现金已经梳理过了，接下来检查总资产的三年变化；回答时同时保留一项可能的反证。,0,[],[]
S003,S003-Q013,P2,基于上一轮的资产和权益原数，近似杠杆变化能说明什么、又不能说明什么；请先给结论，再说明三年依据。,基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请先给结论，再说明三年依据。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""总"", ""start"": 6, ""end"": 7}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""归母股东"", ""start"": 10, ""end"": 14}]"
S003,S003-Q014,P2,把前面的营业收入接回来，资产变化有没有得到规模增长支撑；请把两段同比分开，不要合成一个趋势词。,把前面的营业收入接回来，资产变化有没有得到规模增长支撑；请把两段同比分开，不要合成一个趋势词。,0,[],[]
S003,S003-Q021,P2,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；不要只比较2023年和2025年两个端点。,沿着上一轮的盈利结论，接下来重点看经营活动现金流净额是否跟得上归母净利润；不要只比较2023年和2025年两个端点。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""活动"", ""start"": 19, ""end"": 21}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""净额"", ""start"": 24, ""end"": 26}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""归母净利润"", ""start"": 31, ""end"": 36}]"
S003,S003-Q022,P2,刚才看到的现金流三年路径是连续变化还是中途反转；如果指标方向不同，请保留这种冲突。,刚才看到的经营活动现金流净额三年路径是连续变化还是中途反转；如果指标方向不同，请保留这种冲突。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""经营活动"", ""start"": 5, ""end"": 9}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""净额"", ""start"": 12, ""end"": 14}]"
S003,S003-Q026,P2,再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把2024年这个中间点也保留下来。,再结合总资产变化，前面的现金表现（经营活动现金流净额连续下降）更像效率问题还是只能确认存在错位；把2024年这个中间点也保留下来。,1,"[{""surface_text"": ""连续下降"", ""canonical"": ""CONTINUOUS_DECLINE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""CONTEXT_SUPPORTED_BUT_NOT_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（经营活动现金流净额连续下降）"", ""start"": 16, ""end"": 31}]"
S003,S003-Q028,P2,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；请区分最新一年的边际变化和完整三年路径。,我不想只听支持项，哪项前面已经出现的数字可能推翻经营活动现金流净额连续下降的现金质量结论；请区分最新一年的边际变化和完整三年路径。,1,"[{""surface_text"": ""连续下降"", ""canonical"": ""CONTINUOUS_DECLINE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""CONTEXT_SUPPORTED_BUT_NOT_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""经营活动现金流净额连续下降的"", ""start"": 24, ""end"": 38}]"
S003,S003-Q033,P2,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；如果证据不足，直接说明缺口，不要补估计值。,上一轮的差异（营业收入与归母净利润的增减方向和幅度不匹配）具体集中在哪个年度，能否把两段同比分别解释清楚；如果证据不足，直接说明缺口，不要补估计值。,1,"[{""surface_text"": ""增减方向和幅度不匹配"", ""canonical"": null, ""detection_methods"": [""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": null}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（营业收入与归母净利润的增减方向和幅度不匹配）"", ""start"": 6, ""end"": 29}]"
S003,S003-Q035,P2,基于前面的收入和利润原数，近似利润率发生了什么变化；请用完整财年数据回答，不加入季度信息。,基于前面的营业收入和归母净利润原数，近似利润率发生了什么变化；请用完整财年数据回答，不加入季度信息。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""营业"", ""start"": 5, ""end"": 7}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""归母净"", ""start"": 10, ""end"": 13}]"
S003,S003-Q039,P2,结合刚才的反证，前面有哪些表述需要降级或修正；不要只比较2023年和2025年两个端点。,结合刚才的反证（归母股东权益呈连续上升，总资产呈连续上升），前面有哪些表述需要降级或修正；不要只比较2023年和2025年两个端点。,1,"[{""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母股东权益呈连续上升，总资产呈连续上升）"", ""start"": 7, ""end"": 29}]"
S003,S003-Q042,P2,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；请明确哪些是年报原数、哪些是计算结果。,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；请明确哪些是年报原数、哪些是计算结果。,0,[],[]
S003,S003-Q044,P2,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把2024年这个中间点也保留下来。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把2024年这个中间点也保留下来。,0,[],[]
S003,S003-Q049,P2,如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；请先给结论，再说明三年依据。,如果把刚才的风险点（经营活动现金流净额连续下降）交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；请先给结论，再说明三年依据。,1,"[{""surface_text"": ""连续下降"", ""canonical"": ""CONTINUOUS_DECLINE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（经营活动现金流净额连续下降）"", ""start"": 9, ""end"": 24}]"
S003,S003-Q052,P2,刚才的反例与主结论冲突在哪里，是口径问题还是指标本来就不同步；如果前面的判断需要修订，请直接指出。,刚才的反例（归母净利润呈先升后降）与主结论（营业收入呈连续上升）冲突在哪里，是口径问题还是指标本来就不同步；如果前面的判断（营业收入呈连续上升，归母净利润呈先升后降）需要修订，请直接指出。,2,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}, {""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润呈先升后降）"", ""start"": 5, ""end"": 17}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（营业收入呈连续上升）"", ""start"": 21, ""end"": 32}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（营业收入呈连续上升，归母净利润呈先升后降）"", ""start"": 61, ""end"": 83}]"
S003,S003-Q055,P2,接着用一个可复算比率检查刚才的基期判断，但不要把近似值当正式指标；先说明能确认的事实，再说还不能确认的原因。,接着用一个可复算比率检查刚才的基期判断，但不要把近似值当正式指标；先说明能确认的事实，再说还不能确认的原因。,0,[],[]
S003,S003-Q056,P2,把上一轮的计算放回证据层级，它属于披露事实还是分析工具；请从当前岗位最关心的证据开始回答。,把上一轮的计算（营业收入/期末总资产的近似周转检查）放回证据层级，它属于披露事实还是分析工具；请从当前岗位最关心的证据开始回答。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（营业收入/期末总资产的近似周转检查）"", ""start"": 7, ""end"": 26}]"
S003,S003-Q063,P2,这条证据链里如果有两个指标方向相反，前面的冲突应该怎样解释；结论要能直接接到下一轮继续追问。,这条证据链里如果有两个指标方向相反，前面的冲突应该怎样解释；结论要能直接接到下一轮继续追问。,0,[],[]
S003,S003-Q065,P2,修订后重新区分事实、计算与判断，前面各轮的信息有没有被混在一起；回答时同时保留一项可能的反证。,修订后重新区分事实、计算与判断，前面各轮的信息有没有被混在一起；回答时同时保留一项可能的反证。,0,[],[]
S003,S003-Q066,P2,接着审查表达强度，哪些结论只能说“显示”而不能说“证明”；别只复述数字，要说明它和上一问的关系。,接着审查表达强度，哪些结论只能说“显示”而不能说“证明”；别只复述数字，要说明它和上一问关于证据分级的关系。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""关于证据分级"", ""start"": 44, ""end"": 50}]"
S003,S003-Q070,P2,沿着上一轮的材料表达，再补全来源、限制和允许后续引用的中间结论；如果前面的判断需要修订，请直接指出。,沿着上一轮的材料表达，再补全来源、限制和允许后续引用的中间结论；如果前面的判断需要修订，请直接指出。,0,[],[]
S003,S003-Q077,P2,结合刚才的压力检验，冲突指标应当保留在正文还是降为提示；把结论写得可以回到公开来源复算。,结合刚才的压力检验（归母净利润呈先升后降，总资产呈连续上升），冲突指标应当保留在正文还是降为提示；把结论写得可以回到公开来源复算。,2,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}, {""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润呈先升后降，总资产呈连续上升）"", ""start"": 9, ""end"": 30}]"
S003,S003-Q078,P2,再按来源可靠性检查一遍，前面的决策信息有没有引用二手推断；请明确哪些是年报原数、哪些是计算结果。,再按来源可靠性检查一遍，前面的决策信息有没有引用二手推断；请明确哪些是年报原数、哪些是计算结果。,0,[],[]
