config,session_id,query_id,requirement_id,gold_page_id,rank,hit_at_5,a0_rank,promoted_vs_a0,demoted_vs_a0,c3_rank,promoted_vs_c3,demoted_vs_c3,previous_config,previous_rank,promoted_vs_previous,demoted_vs_previous
A0,S003,S003-Q019,S003-Q019::OUT1,S003-Q013,4,True,4,False,False,1,False,False,,,False,False
A0,S003,S003-Q020,S003-Q020::OUT1,S003-Q015,3,True,3,False,False,4,False,False,,,False,False
A0,S003,S003-Q022,S003-Q022::OUT1,S003-Q017,9,False,9,False,False,1,False,True,,,False,False
A0,S003,S003-Q024,S003-Q024::OUT1,S003-Q019,12,False,12,False,False,4,False,True,,,False,False
A0,S003,S003-Q026,S003-Q026::OUT1,S003-Q021,10,False,10,False,False,5,False,True,,,False,False
A0,S003,S003-Q028,S003-Q028::OUT1,S003-Q023,8,False,8,False,False,5,False,True,,,False,False
A0,S003,S003-Q030,S003-Q030::OUT1,S003-Q025,6,False,6,False,False,22,False,False,,,False,False
A0,S003,S003-Q031,S003-Q031::OUT1,S003-Q020,21,False,21,False,False,10,False,False,,,False,False
A0,S003,S003-Q032,S003-Q032::OUT1,S003-Q027,4,True,4,False,False,4,False,False,,,False,False
A0,S003,S003-Q034,S003-Q034::OUT1,S003-Q029,4,True,4,False,False,7,True,False,,,False,False
A0,S003,S003-Q036,S003-Q036::OUT1,S003-Q031,13,False,13,False,False,22,False,False,,,False,False
A0,S003,S003-Q038,S003-Q038::OUT1,S003-Q033,1,True,1,False,False,6,True,False,,,False,False
A0,S003,S003-Q040,S003-Q040::OUT1,S003-Q035,25,False,25,False,False,27,False,False,,,False,False
A0,S003,S003-Q042,S003-Q042::OUT1,S003-Q037,1,True,1,False,False,1,False,False,,,False,False
A0,S003,S003-Q044,S003-Q044::OUT1,S003-Q039,3,True,3,False,False,1,False,False,,,False,False
A0,S003,S003-Q046,S003-Q046::OUT1,S003-Q041,41,False,41,False,False,40,False,False,,,False,False
A0,S003,S003-Q048,S003-Q048::OUT1,S003-Q043,17,False,17,False,False,11,False,False,,,False,False
A0,S003,S003-Q050,S003-Q050::OUT1,S003-Q045,15,False,15,False,False,7,False,False,,,False,False
A0,S003,S003-Q052,S003-Q052::OUT1,S003-Q047,5,True,5,False,False,2,False,False,,,False,False
A0,S003,S003-Q054,S003-Q054::OUT1,S003-Q049,5,True,5,False,False,26,True,False,,,False,False
A0,S003,S003-Q056,S003-Q056::OUT1,S003-Q051,10,False,10,False,False,22,False,False,,,False,False
A0,S003,S003-Q058,S003-Q058::OUT1,S003-Q053,48,False,48,False,False,34,False,False,,,False,False
A0,S003,S003-Q060,S003-Q060::OUT1,S003-Q055,4,True,4,False,False,9,True,False,,,False,False
A0,S003,S003-Q062,S003-Q062::OUT1,S003-Q057,4,True,4,False,False,26,True,False,,,False,False
A0,S003,S003-Q064,S003-Q064::OUT1,S003-Q059,57,False,57,False,False,30,False,False,,,False,False
A0,S003,S003-Q066,S003-Q066::OUT1,S003-Q061,22,False,22,False,False,18,False,False,,,False,False
A0,S003,S003-Q068,S003-Q068::OUT1,S003-Q063,9,False,9,False,False,7,False,False,,,False,False
A0,S003,S003-Q070,S003-Q070::OUT1,S003-Q065,11,False,11,False,False,17,False,False,,,False,False
A0,S003,S003-Q072,S003-Q072::OUT1,S003-Q067,7,False,7,False,False,8,False,False,,,False,False
A0,S003,S003-Q074,S003-Q074::OUT1,S003-Q069,1,True,1,False,False,1,False,False,,,False,False
A0,S003,S003-Q076,S003-Q076::OUT1,S003-Q071,49,False,49,False,False,61,False,False,,,False,False
A0,S003,S003-Q078,S003-Q078::OUT1,S003-Q073,16,False,16,False,False,27,False,False,,,False,False
A0,S003,S003-Q080,S003-Q080::OUT1,S003-Q075,23,False,23,False,False,57,False,False,,,False,False
A0,S003,S003-Q082,S003-Q082::OUT1,S003-Q077,44,False,44,False,False,17,False,False,,,False,False
A0,S003,S003-Q084,S003-Q084::OUT1,S003-Q079,28,False,28,False,False,47,False,False,,,False,False
A0,S003,S003-Q086,S003-Q086::OUT1,S003-Q081,5,True,5,False,False,5,False,False,,,False,False
A0,S003,S003-Q088,S003-Q088::OUT1,S003-Q083,71,False,71,False,False,60,False,False,,,False,False
A0,S003,S003-Q090,S003-Q090::OUT1,S003-Q085,15,False,15,False,False,59,False,False,,,False,False
A0,S003,S003-Q092,S003-Q092::OUT1,S003-Q087,32,False,32,False,False,32,False,False,,,False,False
A0,S004,S004-Q006,S004-Q006::OUT1,S004-Q001,1,True,1,False,False,1,False,False,,,False,False
A0,S004,S004-Q008,S004-Q008::OUT1,S004-Q003,1,True,1,False,False,1,False,False,,,False,False
A0,S004,S004-Q010,S004-Q010::OUT1,S004-Q005,1,True,1,False,False,1,False,False,,,False,False
A0,S004,S004-Q012,S004-Q012::OUT1,S004-Q007,1,True,1,False,False,1,False,False,,,False,False
A0,S004,S004-Q014,S004-Q014::OUT1,S004-Q009,5,True,5,False,False,4,False,False,,,False,False
A0,S004,S004-Q016,S004-Q016::OUT1,S004-Q011,4,True,4,False,False,3,False,False,,,False,False
A0,S004,S004-Q018,S004-Q018::OUT1,S004-Q013,4,True,4,False,False,2,False,False,,,False,False
A0,S004,S004-Q020,S004-Q020::OUT1,S004-Q015,4,True,4,False,False,9,True,False,,,False,False
A0,S004,S004-Q022,S004-Q022::OUT1,S004-Q017,1,True,1,False,False,5,False,False,,,False,False
A0,S004,S004-Q024,S004-Q024::OUT1,S004-Q019,3,True,3,False,False,3,False,False,,,False,False
A0,S004,S004-Q026,S004-Q026::OUT1,S004-Q021,2,True,2,False,False,3,False,False,,,False,False
A0,S004,S004-Q028,S004-Q028::OUT1,S004-Q023,1,True,1,False,False,1,False,False,,,False,False
A0,S004,S004-Q029,S004-Q029::OUT1,S004-Q023,1,True,1,False,False,1,False,False,,,False,False
A0,S004,S004-Q030,S004-Q030::OUT1,S004-Q025,7,False,7,False,False,5,False,True,,,False,False
A0,S004,S004-Q031,S004-Q031::OUT1,S004-Q020,6,False,6,False,False,4,False,True,,,False,False
A0,S004,S004-Q032,S004-Q032::OUT1,S004-Q027,5,True,5,False,False,1,False,False,,,False,False
A0,S004,S004-Q034,S004-Q034::OUT1,S004-Q029,6,False,6,False,False,9,False,False,,,False,False
A0,S004,S004-Q036,S004-Q036::OUT1,S004-Q031,13,False,13,False,False,16,False,False,,,False,False
A0,S004,S004-Q038,S004-Q038::OUT1,S004-Q033,17,False,17,False,False,1,False,True,,,False,False
A0,S004,S004-Q040,S004-Q040::OUT1,S004-Q035,20,False,20,False,False,24,False,False,,,False,False
A0,S004,S004-Q042,S004-Q042::OUT1,S004-Q037,2,True,2,False,False,1,False,False,,,False,False
A0,S004,S004-Q044,S004-Q044::OUT1,S004-Q039,7,False,7,False,False,10,False,False,,,False,False
A0,S004,S004-Q046,S004-Q046::OUT1,S004-Q041,32,False,32,False,False,37,False,False,,,False,False
A0,S004,S004-Q048,S004-Q048::OUT1,S004-Q043,13,False,13,False,False,3,False,True,,,False,False
A0,S004,S004-Q050,S004-Q050::OUT1,S004-Q045,34,False,34,False,False,35,False,False,,,False,False
A0,S004,S004-Q052,S004-Q052::OUT1,S004-Q047,4,True,4,False,False,26,True,False,,,False,False
A0,S004,S004-Q054,S004-Q054::OUT1,S004-Q049,1,True,1,False,False,19,True,False,,,False,False
A0,S004,S004-Q056,S004-Q056::OUT1,S004-Q051,19,False,19,False,False,39,False,False,,,False,False
A0,S004,S004-Q058,S004-Q058::OUT1,S004-Q053,29,False,29,False,False,30,False,False,,,False,False
A0,S004,S004-Q060,S004-Q060::OUT1,S004-Q055,1,True,1,False,False,1,False,False,,,False,False
A0,S004,S004-Q061,S004-Q061::OUT1,S004-Q053,31,False,31,False,False,46,False,False,,,False,False
A0,S004,S004-Q062,S004-Q062::OUT1,S004-Q057,2,True,2,False,False,4,False,False,,,False,False
A0,S004,S004-Q064,S004-Q064::OUT1,S004-Q059,12,False,12,False,False,19,False,False,,,False,False
A0,S004,S004-Q066,S004-Q066::OUT1,S004-Q061,38,False,38,False,False,17,False,False,,,False,False
A0,S004,S004-Q067,S004-Q067::OUT1,S004-Q057,24,False,24,False,False,31,False,False,,,False,False
A0,S004,S004-Q068,S004-Q068::OUT1,S004-Q063,6,False,6,False,False,8,False,False,,,False,False
A0,S004,S004-Q070,S004-Q070::OUT1,S004-Q065,33,False,33,False,False,15,False,False,,,False,False
A0,S004,S004-Q072,S004-Q072::OUT1,S004-Q067,2,True,2,False,False,4,False,False,,,False,False
A0,S004,S004-Q074,S004-Q074::OUT1,S004-Q069,38,False,38,False,False,49,False,False,,,False,False
A0,S005,S005-Q006,S005-Q006::OUT1,S005-Q001,1,True,1,False,False,1,False,False,,,False,False
A0,S005,S005-Q008,S005-Q008::OUT1,S005-Q003,1,True,1,False,False,2,False,False,,,False,False
A0,S005,S005-Q010,S005-Q010::OUT1,S005-Q005,1,True,1,False,False,1,False,False,,,False,False
A0,S005,S005-Q012,S005-Q012::OUT1,S005-Q007,1,True,1,False,False,1,False,False,,,False,False
A0,S005,S005-Q014,S005-Q014::OUT1,S005-Q009,4,True,4,False,False,5,False,False,,,False,False
A0,S005,S005-Q016,S005-Q016::OUT1,S005-Q011,2,True,2,False,False,7,True,False,,,False,False
A0,S005,S005-Q018,S005-Q018::OUT1,S005-Q013,7,False,7,False,False,4,False,True,,,False,False
A0,S005,S005-Q020,S005-Q020::OUT1,S005-Q015,3,True,3,False,False,1,False,False,,,False,False
A0,S005,S005-Q021,S005-Q021::OUT1,S005-Q010,8,False,8,False,False,8,False,False,,,False,False
A0,S005,S005-Q022,S005-Q022::OUT1,S005-Q017,2,True,2,False,False,1,False,False,,,False,False
A0,S005,S005-Q024,S005-Q024::OUT1,S005-Q019,1,True,1,False,False,12,True,False,,,False,False
A0,S005,S005-Q026,S005-Q026::OUT1,S005-Q021,8,False,8,False,False,11,False,False,,,False,False
A0,S005,S005-Q028,S005-Q028::OUT1,S005-Q023,1,True,1,False,False,3,False,False,,,False,False
A0,S005,S005-Q030,S005-Q030::OUT1,S005-Q025,14,False,14,False,False,18,False,False,,,False,False
A0,S005,S005-Q032,S005-Q032::OUT1,S005-Q027,4,True,4,False,False,3,False,False,,,False,False
A0,S005,S005-Q034,S005-Q034::OUT1,S005-Q029,3,True,3,False,False,8,True,False,,,False,False
A0,S005,S005-Q036,S005-Q036::OUT1,S005-Q031,6,False,6,False,False,3,False,True,,,False,False
A0,S005,S005-Q038,S005-Q038::OUT1,S005-Q033,4,True,4,False,False,3,False,False,,,False,False
A0,S005,S005-Q040,S005-Q040::OUT1,S005-Q035,2,True,2,False,False,30,True,False,,,False,False
A0,S005,S005-Q042,S005-Q042::OUT1,S005-Q037,1,True,1,False,False,1,False,False,,,False,False
A0,S005,S005-Q044,S005-Q044::OUT1,S005-Q039,4,True,4,False,False,10,True,False,,,False,False
A0,S005,S005-Q046,S005-Q046::OUT1,S005-Q041,22,False,22,False,False,25,False,False,,,False,False
A0,S005,S005-Q048,S005-Q048::OUT1,S005-Q043,2,True,2,False,False,1,False,False,,,False,False
A0,S005,S005-Q049,S005-Q049::OUT1,S005-Q043,5,True,5,False,False,3,False,False,,,False,False
A0,S005,S005-Q050,S005-Q050::OUT1,S005-Q045,20,False,20,False,False,31,False,False,,,False,False
A0,S005,S005-Q051,S005-Q051::OUT1,S005-Q042,2,True,2,False,False,28,True,False,,,False,False
A0,S005,S005-Q052,S005-Q052::OUT1,S005-Q047,1,True,1,False,False,1,False,False,,,False,False
A0,S005,S005-Q054,S005-Q054::OUT1,S005-Q049,10,False,10,False,False,25,False,False,,,False,False
A0,S005,S005-Q056,S005-Q056::OUT1,S005-Q051,1,True,1,False,False,3,False,False,,,False,False
A0,S005,S005-Q057,S005-Q057::OUT1,S005-Q048,10,False,10,False,False,9,False,False,,,False,False
A0,S005,S005-Q058,S005-Q058::OUT1,S005-Q053,5,True,5,False,False,5,False,False,,,False,False
A0,S006,S006-Q006,S006-Q006::OUT1,S006-Q001,1,True,1,False,False,1,False,False,,,False,False
A0,S006,S006-Q008,S006-Q008::OUT1,S006-Q003,2,True,2,False,False,2,False,False,,,False,False
A0,S006,S006-Q010,S006-Q010::OUT1,S006-Q005,1,True,1,False,False,1,False,False,,,False,False
A0,S006,S006-Q012,S006-Q012::OUT1,S006-Q007,1,True,1,False,False,2,False,False,,,False,False
A0,S006,S006-Q014,S006-Q014::OUT1,S006-Q009,1,True,1,False,False,2,False,False,,,False,False
A0,S006,S006-Q016,S006-Q016::OUT1,S006-Q011,6,False,6,False,False,4,False,True,,,False,False
A0,S006,S006-Q018,S006-Q018::OUT1,S006-Q013,1,True,1,False,False,1,False,False,,,False,False
A0,S006,S006-Q020,S006-Q020::OUT1,S006-Q015,5,True,5,False,False,10,True,False,,,False,False
A0,S006,S006-Q022,S006-Q022::OUT1,S006-Q017,1,True,1,False,False,8,True,False,,,False,False
A0,S006,S006-Q024,S006-Q024::OUT1,S006-Q019,2,True,2,False,False,8,True,False,,,False,False
A0,S006,S006-Q026,S006-Q026::OUT1,S006-Q021,3,True,3,False,False,3,False,False,,,False,False
A0,S006,S006-Q028,S006-Q028::OUT1,S006-Q023,3,True,3,False,False,4,False,False,,,False,False
A0,S006,S006-Q030,S006-Q030::OUT1,S006-Q025,3,True,3,False,False,17,True,False,,,False,False
A0,S006,S006-Q032,S006-Q032::OUT1,S006-Q027,1,True,1,False,False,1,False,False,,,False,False
A0,S006,S006-Q034,S006-Q034::OUT1,S006-Q029,7,False,7,False,False,8,False,False,,,False,False
A0,S006,S006-Q036,S006-Q036::OUT1,S006-Q031,15,False,15,False,False,17,False,False,,,False,False
A0,S006,S006-Q038,S006-Q038::OUT1,S006-Q033,1,True,1,False,False,3,False,False,,,False,False
A0,S006,S006-Q039,S006-Q039::OUT1,S006-Q033,1,True,1,False,False,5,False,False,,,False,False
A0,S006,S006-Q040,S006-Q040::OUT1,S006-Q035,6,False,6,False,False,8,False,False,,,False,False
A0,S006,S006-Q042,S006-Q042::OUT1,S006-Q037,1,True,1,False,False,1,False,False,,,False,False
A0,S006,S006-Q044,S006-Q044::OUT1,S006-Q039,30,False,30,False,False,17,False,False,,,False,False
A0,S006,S006-Q046,S006-Q046::OUT1,S006-Q041,26,False,26,False,False,36,False,False,,,False,False
A0,S006,S006-Q048,S006-Q048::OUT1,S006-Q043,33,False,33,False,False,17,False,False,,,False,False
A0,S006,S006-Q050,S006-Q050::OUT1,S006-Q045,1,True,1,False,False,1,False,False,,,False,False
A0,S006,S006-Q051,S006-Q051::OUT1,S006-Q043,27,False,27,False,False,11,False,False,,,False,False
A0,S006,S006-Q052,S006-Q052::OUT1,S006-Q047,7,False,7,False,False,20,False,False,,,False,False
A0,S006,S006-Q054,S006-Q054::OUT1,S006-Q049,1,True,1,False,False,3,False,False,,,False,False
A0,S006,S006-Q056,S006-Q056::OUT1,S006-Q051,4,True,4,False,False,30,True,False,,,False,False
A0,S006,S006-Q057,S006-Q057::OUT1,S006-Q047,5,True,5,False,False,26,True,False,,,False,False
A0,S006,S006-Q058,S006-Q058::OUT1,S006-Q053,1,True,1,False,False,1,False,False,,,False,False
A0,S006,S006-Q060,S006-Q060::OUT1,S006-Q055,19,False,19,False,False,18,False,False,,,False,False
A0,S006,S006-Q062,S006-Q062::OUT1,S006-Q057,6,False,6,False,False,4,False,True,,,False,False
A0,S006,S006-Q064,S006-Q064::OUT1,S006-Q059,2,True,2,False,False,1,False,False,,,False,False
A0,S006,S006-Q066,S006-Q066::OUT1,S006-Q061,23,False,23,False,False,29,False,False,,,False,False
A0,S006,S006-Q068,S006-Q068::OUT1,S006-Q063,9,False,9,False,False,29,False,False,,,False,False
A0,S006,S006-Q070,S006-Q070::OUT1,S006-Q065,2,True,2,False,False,2,False,False,,,False,False
A0,S006,S006-Q072,S006-Q072::OUT1,S006-Q067,1,True,1,False,False,16,True,False,,,False,False
A0,S006,S006-Q074,S006-Q074::OUT1,S006-Q069,2,True,2,False,False,40,True,False,,,False,False
A0,S006,S006-Q076,S006-Q076::OUT1,S006-Q071,21,False,21,False,False,25,False,False,,,False,False
A0,S006,S006-Q078,S006-Q078::OUT1,S006-Q073,14,False,14,False,False,15,False,False,,,False,False
A0,S006,S006-Q080,S006-Q080::OUT1,S006-Q075,47,False,47,False,False,34,False,False,,,False,False
A0,S007,S007-Q006,S007-Q006::OUT1,S007-Q001,1,True,1,False,False,1,False,False,,,False,False
A0,S007,S007-Q008,S007-Q008::OUT1,S007-Q003,1,True,1,False,False,1,False,False,,,False,False
A0,S007,S007-Q010,S007-Q010::OUT1,S007-Q005,1,True,1,False,False,1,False,False,,,False,False
A0,S007,S007-Q012,S007-Q012::OUT1,S007-Q007,1,True,1,False,False,1,False,False,,,False,False
A0,S007,S007-Q014,S007-Q014::OUT1,S007-Q009,2,True,2,False,False,2,False,False,,,False,False
A0,S007,S007-Q016,S007-Q016::OUT1,S007-Q011,4,True,4,False,False,2,False,False,,,False,False
A0,S007,S007-Q018,S007-Q018::OUT1,S007-Q013,3,True,3,False,False,3,False,False,,,False,False
A0,S007,S007-Q020,S007-Q020::OUT1,S007-Q015,1,True,1,False,False,6,True,False,,,False,False
A0,S007,S007-Q022,S007-Q022::OUT1,S007-Q017,2,True,2,False,False,1,False,False,,,False,False
A0,S007,S007-Q024,S007-Q024::OUT1,S007-Q019,3,True,3,False,False,6,True,False,,,False,False
A0,S007,S007-Q026,S007-Q026::OUT1,S007-Q021,13,False,13,False,False,17,False,False,,,False,False
A0,S007,S007-Q028,S007-Q028::OUT1,S007-Q023,1,True,1,False,False,1,False,False,,,False,False
A0,S007,S007-Q029,S007-Q029::OUT1,S007-Q023,5,True,5,False,False,4,False,False,,,False,False
A0,S007,S007-Q030,S007-Q030::OUT1,S007-Q025,1,True,1,False,False,15,True,False,,,False,False
A0,S007,S007-Q031,S007-Q031::OUT1,S007-Q020,7,False,7,False,False,15,False,False,,,False,False
A0,S007,S007-Q032,S007-Q032::OUT1,S007-Q027,1,True,1,False,False,1,False,False,,,False,False
A0,S007,S007-Q034,S007-Q034::OUT1,S007-Q029,3,True,3,False,False,1,False,False,,,False,False
A0,S007,S007-Q036,S007-Q036::OUT1,S007-Q031,8,False,8,False,False,11,False,False,,,False,False
A0,S007,S007-Q038,S007-Q038::OUT1,S007-Q033,1,True,1,False,False,4,False,False,,,False,False
A0,S007,S007-Q040,S007-Q040::OUT1,S007-Q035,17,False,17,False,False,10,False,False,,,False,False
A0,S007,S007-Q042,S007-Q042::OUT1,S007-Q037,1,True,1,False,False,1,False,False,,,False,False
A0,S007,S007-Q044,S007-Q044::OUT1,S007-Q039,3,True,3,False,False,14,True,False,,,False,False
A0,S007,S007-Q046,S007-Q046::OUT1,S007-Q041,22,False,22,False,False,22,False,False,,,False,False
A0,S007,S007-Q048,S007-Q048::OUT1,S007-Q043,4,True,4,False,False,5,False,False,,,False,False
A0,S007,S007-Q050,S007-Q050::OUT1,S007-Q045,21,False,21,False,False,2,False,True,,,False,False
A0,S007,S007-Q052,S007-Q052::OUT1,S007-Q047,2,True,2,False,False,1,False,False,,,False,False
A0,S007,S007-Q054,S007-Q054::OUT1,S007-Q049,3,True,3,False,False,10,True,False,,,False,False
A0,S007,S007-Q056,S007-Q056::OUT1,S007-Q051,5,True,5,False,False,24,True,False,,,False,False
A0,S007,S007-Q058,S007-Q058::OUT1,S007-Q053,11,False,11,False,False,13,False,False,,,False,False
A0,S007,S007-Q060,S007-Q060::OUT1,S007-Q055,5,True,5,False,False,3,False,False,,,False,False
A0,S007,S007-Q061,S007-Q061::OUT1,S007-Q052,14,False,14,False,False,7,False,False,,,False,False
A0,S007,S007-Q062,S007-Q062::OUT1,S007-Q057,5,True,5,False,False,23,True,False,,,False,False
A0,S007,S007-Q064,S007-Q064::OUT1,S007-Q059,4,True,4,False,False,2,False,False,,,False,False
A0,S007,S007-Q066,S007-Q066::OUT1,S007-Q061,3,True,3,False,False,11,True,False,,,False,False
A0,S007,S007-Q067,S007-Q067::OUT1,S007-Q052,1,True,1,False,False,1,False,False,,,False,False
