session_id,source_turn_id,add_variant,user_task_labels,summary_task_labels,task_alignment,task_keyword_covered,audit_method
S001,S001-Q003,A2,"[""口径核验"", ""拐点定位""]","[""来源核验"", ""口径核验"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q003,A3,"[""口径核验"", ""拐点定位""]","[""口径核验"", ""拐点定位"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q004,Old,"[""同步比较""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q004,A1,"[""同步比较""]","[""验证"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q004,A2,"[""同步比较""]","[""判断修订"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q004,A3,"[""同步比较""]","[""验证"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q005,Old,"[""拐点定位""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q005,A1,"[""拐点定位""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q005,A2,"[""拐点定位""]","[""判断修订"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q005,A3,"[""拐点定位""]","[""口径核验"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q006,Old,"[""判断修订"", ""来源核验"", ""口径核验"", ""盈利质量"", ""可复算性""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q006,A1,"[""判断修订"", ""来源核验"", ""口径核验"", ""盈利质量"", ""可复算性""]","[""验证"", ""判断修订"", ""阶段小结"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q006,A2,"[""判断修订"", ""来源核验"", ""口径核验"", ""盈利质量"", ""可复算性""]","[""判断修订"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q006,A3,"[""判断修订"", ""来源核验"", ""口径核验"", ""盈利质量"", ""可复算性""]","[""阶段小结"", ""来源核验"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q007,Old,"[""验证"", ""来源核验"", ""口径核验"", ""现金质量"", ""盈利质量"", ""可复算性""]","[""验证"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""效率判断"", ""可复算性""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q007,A1,"[""验证"", ""来源核验"", ""口径核验"", ""现金质量"", ""盈利质量"", ""可复算性""]","[""验证"", ""来源核验"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q007,A2,"[""验证"", ""来源核验"", ""口径核验"", ""现金质量"", ""盈利质量"", ""可复算性""]","[""验证"", ""来源核验"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q007,A3,"[""验证"", ""来源核验"", ""口径核验"", ""现金质量"", ""盈利质量"", ""可复算性""]","[""验证"", ""信息缺口"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""效率判断"", ""可复算性""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q008,Old,"[""口径核验""]","[""来源核验"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q008,A1,"[""口径核验""]","[""验证"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""效率判断"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q008,A2,"[""口径核验""]","[""判断修订"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q008,A3,"[""口径核验""]","[""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q009,Old,"[""拐点定位""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q009,A1,"[""拐点定位""]","[""阶段小结"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q009,A2,"[""拐点定位""]","[""口径核验"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q009,A3,"[""拐点定位""]","[""口径核验"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q010,Old,"[""一般分析判断""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q010,A1,"[""一般分析判断""]","[""阶段小结"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q010,A2,"[""一般分析判断""]","[""阶段小结"", ""口径核验"", ""同比解释"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q010,A3,"[""一般分析判断""]","[""反证检验"", ""判断修订"", ""来源核验"", ""口径核验"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q011,Old,[],"[""管理层问询"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q011,A1,[],"[""来源核验"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q011,A2,[],"[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q011,A3,[],"[""口径核验"", ""同比解释"", ""拐点定位"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q012,Old,"[""反证检验"", ""口径核验"", ""盈利质量"", ""同步比较""]","[""反证检验"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q012,A1,"[""反证检验"", ""口径核验"", ""盈利质量"", ""同步比较""]","[""反证检验"", ""验证"", ""阶段小结"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q012,A2,"[""反证检验"", ""口径核验"", ""盈利质量"", ""同步比较""]","[""反证检验"", ""判断修订"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q012,A3,"[""反证检验"", ""口径核验"", ""盈利质量"", ""同步比较""]","[""反证检验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q013,Old,"[""同比解释"", ""原因解释""]","[""反证检验"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q013,A1,"[""同比解释"", ""原因解释""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q013,A2,"[""同比解释"", ""原因解释""]","[""判断修订"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q013,A3,"[""同比解释"", ""原因解释""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q014,Old,"[""口径核验"", ""盈利质量""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q014,A1,"[""口径核验"", ""盈利质量""]","[""阶段小结"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q014,A2,"[""口径核验"", ""盈利质量""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q014,A3,"[""口径核验"", ""盈利质量""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q015,Old,"[""同比解释"", ""可复算性""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q015,A1,"[""同比解释"", ""可复算性""]","[""阶段小结"", ""口径核验"", ""同比解释"", ""拐点定位"", ""可复算性"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q015,A2,"[""同比解释"", ""可复算性""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q015,A3,"[""同比解释"", ""可复算性""]","[""阶段小结"", ""口径核验"", ""同比解释"", ""拐点定位"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q016,Old,[],"[""阶段小结"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q016,A1,[],"[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q016,A2,[],"[""验证"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q016,A3,[],"[""信息缺口"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q017,Old,"[""判断修订""]","[""判断修订"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q017,A1,"[""判断修订""]","[""验证"", ""判断修订"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q017,A2,"[""判断修订""]","[""验证"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q017,A3,"[""判断修订""]","[""验证"", ""判断修订"", ""信息缺口"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q018,Old,"[""反证检验"", ""验证"", ""来源核验"", ""口径核验""]","[""反证检验"", ""验证"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q018,A1,"[""反证检验"", ""验证"", ""来源核验"", ""口径核验""]","[""反证检验"", ""验证"", ""阶段小结"", ""来源核验"", ""口径核验"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q018,A2,"[""反证检验"", ""验证"", ""来源核验"", ""口径核验""]","[""反证检验"", ""验证"", ""来源核验"", ""口径核验"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q018,A3,"[""反证检验"", ""验证"", ""来源核验"", ""口径核验""]","[""反证检验"", ""验证"", ""口径核验"", ""同比解释"", ""拐点定位""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q019,Old,"[""反证检验"", ""判断修订""]","[""反证检验"", ""验证"", ""判断修订"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q019,A1,"[""反证检验"", ""判断修订""]","[""反证检验"", ""验证"", ""判断修订"", ""口径核验"", ""拐点定位"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q019,A2,"[""反证检验"", ""判断修订""]","[""反证检验"", ""判断修订"", ""口径核验"", ""同比解释"", ""拐点定位"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q019,A3,"[""反证检验"", ""判断修订""]","[""反证检验"", ""验证"", ""判断修订"", ""口径核验"", ""拐点定位"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q020,Old,"[""原因解释""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q020,A1,"[""原因解释""]","[""阶段小结"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q020,A2,"[""原因解释""]","[""阶段小结"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q020,A3,"[""原因解释""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q021,Old,"[""现金质量""]","[""阶段小结"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q021,A1,"[""现金质量""]","[""验证"", ""信息缺口"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q021,A2,"[""现金质量""]","[""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q021,A3,"[""现金质量""]","[""验证"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q022,Old,"[""拐点定位"", ""同步比较""]","[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q022,A1,"[""拐点定位"", ""同步比较""]","[""验证"", ""口径核验"", ""同比解释"", ""拐点定位"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q022,A2,"[""拐点定位"", ""同步比较""]","[""判断修订"", ""口径核验"", ""同比解释"", ""拐点定位"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q022,A3,"[""拐点定位"", ""同步比较""]","[""阶段小结"", ""口径核验"", ""拐点定位"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q023,Old,"[""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]","[""来源核验"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q023,A1,"[""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]","[""阶段小结"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q023,A2,"[""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]","[""判断修订"", ""信息缺口"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q023,A3,"[""口径核验"", ""拐点定位"", ""盈利质量"", ""同步比较""]","[""信息缺口"", ""口径核验"", ""拐点定位"", ""盈利质量""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q024,Old,"[""来源核验"", ""可复算性""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q024,A1,"[""来源核验"", ""可复算性""]","[""阶段小结"", ""来源核验"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q024,A2,"[""来源核验"", ""可复算性""]","[""来源核验"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""可复算性"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q024,A3,"[""来源核验"", ""可复算性""]","[""口径核验"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q025,Old,"[""来源核验"", ""可复算性""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q025,A1,"[""来源核验"", ""可复算性""]","[""反证检验"", ""验证"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""可复算性""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q025,A2,"[""来源核验"", ""可复算性""]","[""判断修订"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q025,A3,"[""来源核验"", ""可复算性""]","[""验证"", ""信息缺口"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""效率判断"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
