Session,Query ID,Gold Page ID,Gold source_turn_id,完整实验配置,Add Prompt,Search 方案,Gold rank,Gold score,Gold hit Top5
S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,15,0.38481488823890686,False
S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,29,0.335262268781662,False
S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,13,0.4355660080909729,False
S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.33832457661628723,True
S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.3450709879398346,False
S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.3914191424846649,True
S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,9,0.33159926533699036,False
S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,5,0.4067200720310211,True
S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.5073202252388,True
S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,13,0.6465378403663635,False
S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,4,0.7317522764205933,True
S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.6958172917366028,False
S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.6949954032897949,False
S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,9,0.6865123510360718,False
S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,8,0.635677695274353,False
S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,4,0.7509975433349609,True
S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.713391900062561,False
S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,8,0.71683669090271,False
S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,12,0.6947565078735352,False
S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.7444235682487488,True
S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,5,0.7117832899093628,True
S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,40,0.6301290392875671,False
S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.7112531065940857,False
S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,5,0.6977245807647705,True
S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.5538138151168823,True
S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,5,0.5295717716217041,True
S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,5,0.519546627998352,True
S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,13,0.49913763999938965,False
S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,34,0.34421658515930176,False
S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,19,0.3813455402851105,False
S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.5514099597930908,True
S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,10,0.47436463832855225,False
S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.5741122364997864,True
S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,9,0.48527994751930237,False
S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,37,0.39760541915893555,False
S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.37955912947654724,True
S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.48598742485046387,True
S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.513968288898468,True
S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,7,0.4879744350910187,False
S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.5344179272651672,True
S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.5515123605728149,True
S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,14,0.6067447662353516,False
S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.540005624294281,True
S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.5354854464530945,True
S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,21,0.5021357536315918,False
S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.566022515296936,False
S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.4874832332134247,True
S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,19,0.47346293926239014,False
S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,17,0.4776647090911865,False
S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.5142894387245178,False
S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,4,0.5138795971870422,True
S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,29,0.42981383204460144,False
S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,12,0.5011759400367737,False
S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,37,0.4009626805782318,False
S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,22,0.44993260502815247,False
S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,25,0.39701777696609497,False
S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,16,0.4209011197090149,False
S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,36,0.3635977506637573,False
S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,50,0.3734886050224304,False
S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,8,0.4666304290294647,False
S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,25,0.39264366030693054,False
S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,14,0.42972472310066223,False
S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,31,0.39131292700767517,False
S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,33,0.38522157073020935,False
S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.4341575503349304,False
S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,39,0.34592118859291077,False
S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.4145900309085846,False
S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,7,0.447327196598053,False
S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,67,0.32590147852897644,False
S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,26,0.41176116466522217,False
S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,8,0.5034886598587036,False
S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,70,0.4027944505214691,False
S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,68,0.457669198513031,False
S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,75,0.34470492601394653,False
S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,22,0.42815840244293213,False
S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,27,0.4808177649974823,False
S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,4,0.5210728645324707,True
S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,8,0.5104247331619263,False
S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.3488452732563019,True
S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.4478003680706024,False
S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.626485288143158,True
S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,8,0.5743756294250488,False
S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.6311529874801636,True
S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.5237041115760803,True
S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.692194402217865,False
S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,9,0.6558319330215454,False
S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,5,0.6664348244667053,True
S004,S004-Q026,7567fc91-4210-59bc-ac74-0cc3060edc83,S004-Q014,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,22,0.5618359446525574,False
S004,S004-Q026,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,15,0.607856035232544,False
S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,S004-Q022,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,19,0.638894259929657,False
S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,S004-Q023,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.5140451192855835,True
S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,18,0.4629700183868408,False
S004,S004-Q035,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.4753205478191376,False
S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,S004-Q027,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.3509902358055115,False
S004,S004-Q039,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,21,0.2760118842124939,False
S004,S004-Q042,c61777d3-f94f-5655-9b6b-9d6cdc28c303,S004-Q036,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,8,0.49345386028289795,False
S004,S004-Q044,094486b7-1e86-5360-8005-66c6886152c2,S004-Q034,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,40,0.28102946281433105,False
S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,14,0.36668768525123596,False
S004,S004-Q049,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,25,0.44328320026397705,False
S004,S004-Q052,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,17,0.453130841255188,False
S004,S004-Q052,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,38,0.4072052836418152,False
S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,49,0.3857173025608063,False
S004,S004-Q055,90248870-b2cb-59d2-a707-79d09f366d8a,S004-Q051,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,38,0.40836551785469055,False
S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,41,0.38185083866119385,False
S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,S004-Q057,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.5229606628417969,True
S004,S004-Q065,ca05266e-320c-5081-9d2d-f7c8689c58a9,S004-Q053,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,20,0.42018499970436096,False
S004,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,S004-Q058,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.44664400815963745,False
S004,S004-Q066,52990abe-a81c-5937-b506-8a88315cc3c0,S004-Q056,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,12,0.3909291625022888,False
S004,S004-Q066,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,S004-Q062,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,42,0.3365212082862854,False
S004,S004-Q070,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,S004-Q064,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,32,0.4317394196987152,False
S005,S005-Q007,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.4711211323738098,True
S005,S005-Q011,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,7,0.4023248851299286,False
S005,S005-Q011,9c806b54-004f-57bf-8755-c4a0eebd929e,S005-Q007,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.45313093066215515,True
S005,S005-Q013,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,9,0.4182943105697632,False
S005,S005-Q013,6e436632-8d73-58b8-a746-7cbc36ffe10f,S005-Q006,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.5017252564430237,True
S005,S005-Q014,c64751d6-21c8-5c09-87da-48f940293661,S005-Q008,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.45949772000312805,True
S005,S005-Q021,5095d8f5-e975-5011-976e-e587c31560f2,S005-Q015,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.5081461668014526,False
S005,S005-Q022,bcb24496-086a-528b-a09e-86bae79fa560,S005-Q012,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.6334474086761475,True
S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,S005-Q018,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,16,0.5099824070930481,False
S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,S005-Q014,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.5428827404975891,True
S005,S005-Q026,daf8b285-37ac-5e07-a640-74fc9322fe21,S005-Q019,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.531827986240387,False
S005,S005-Q028,102b7fa7-9564-5e73-98e7-41fde776fa99,S005-Q022,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,19,0.35931506752967834,False
S005,S005-Q033,407824ab-fd2c-5a7b-ac60-4e9d2ed5311e,S005-Q023,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,7,0.5736443400382996,False
