Session,Query ID,Search 方案,对照,Transition,原 Production Gold ranks,保守调优 Gold ranks,promoted_gold,demoted_gold,max_promotion,max_demotion
S002,S002-Q014,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,HURT,"{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 3}","{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 8}",0,1,-5,5
S002,S002-Q021,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 13}","{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 8}",0,0,5,-5
S002,S002-Q022,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,HURT,"{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 4, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 11}","{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 6, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 17}",0,1,-2,6
S002,S002-Q026,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,RESCUED,"{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 6, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 9}","{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 5, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 11}",1,0,1,2
S002,S002-Q028,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,RESCUED,"{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 8}","{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 2}",1,0,6,-6
S002,S002-Q033,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 4, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 1, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 18}",0,0,3,7
S002,S002-Q035,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""893b3ae9-1f94-5436-8c6d-54e200693867"": 8}","{""893b3ae9-1f94-5436-8c6d-54e200693867"": 9}",0,0,-1,1
S002,S002-Q039,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 12, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 1}","{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 13, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 1}",0,0,0,1
S002,S002-Q042,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 5}","{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 2}",0,0,3,-3
S002,S002-Q044,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 40, ""647fce0c-6320-5a98-819d-50dff3300582"": 11}","{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 40, ""647fce0c-6320-5a98-819d-50dff3300582"": 11}",0,0,0,0
S002,S002-Q049,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 5}","{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 4}",0,0,1,-1
S002,S002-Q052,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""647fce0c-6320-5a98-819d-50dff3300582"": 2, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 5}","{""647fce0c-6320-5a98-819d-50dff3300582"": 5, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 8}",0,1,-3,3
S002,S002-Q055,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,HURT,"{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 5, ""2e583969-bc65-5074-a7fe-0424438cd092"": 13}","{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 9, ""2e583969-bc65-5074-a7fe-0424438cd092"": 8}",0,1,5,4
S002,S002-Q056,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""e40ec65e-2907-515a-b1dd-3bec39109106"": 34}","{""e40ec65e-2907-515a-b1dd-3bec39109106"": 38}",0,0,-4,4
S002,S002-Q063,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""3549589e-05fe-5631-9385-5379f8dd4396"": 19}","{""3549589e-05fe-5631-9385-5379f8dd4396"": 36}",0,0,-17,17
S002,S002-Q065,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 1, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 10}","{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 3, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 19}",0,0,-2,9
S002,S002-Q066,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""166328f1-a89c-5b18-8a53-02ac909e0849"": 1, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 9}","{""166328f1-a89c-5b18-8a53-02ac909e0849"": 2, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 35}",0,0,-1,26
S002,S002-Q070,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 37}","{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 38}",0,0,-1,1
S003,S003-Q007,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 1}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 3}",0,0,-2,2
S003,S003-Q011,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 3, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 2}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 6, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 2}",0,1,0,3
S003,S003-Q013,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 7, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 2}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 8, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 1}",0,0,1,1
S003,S003-Q014,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 1}","{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 1}",0,0,0,0
S003,S003-Q021,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 14}","{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 7}",0,0,7,-7
S003,S003-Q022,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 1, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 3}","{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 1, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 11}",0,1,0,8
S003,S003-Q026,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 21, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 6}","{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 10, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 11}",0,0,11,5
S003,S003-Q028,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 2}","{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 5}",0,0,-3,3
S003,S003-Q033,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 19, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 17}","{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 14, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 18}",0,0,5,1
S003,S003-Q035,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 11}","{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 21}",0,0,-10,10
S003,S003-Q039,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,HURT,"{""4ed05884-3478-5a91-a63f-3067fd41956d"": 4, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 29}","{""4ed05884-3478-5a91-a63f-3067fd41956d"": 18, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 32}",0,1,-3,14
S003,S003-Q042,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 12}","{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 12}",0,0,0,0
S003,S003-Q044,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 37, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 22}","{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 34, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 20}",0,0,3,-2
S003,S003-Q049,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""2316a391-e779-530b-ac2f-055182347d32"": 25}","{""2316a391-e779-530b-ac2f-055182347d32"": 30}",0,0,-5,5
S003,S003-Q052,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 16, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 36}","{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 24, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 23}",0,0,13,8
S003,S003-Q055,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 50, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 8}","{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 43, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 20}",0,0,7,12
S003,S003-Q056,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""59d896c1-0734-53cf-821a-5728dd5fe548"": 25}","{""59d896c1-0734-53cf-821a-5728dd5fe548"": 37}",0,0,-12,12
S003,S003-Q063,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 14}","{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 6}",0,0,8,-8
S003,S003-Q065,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 31, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 33}","{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 35, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 26}",0,0,7,4
S003,S003-Q066,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""3e1cec0a-77e2-5463-865e-1f49b78e966c"": 6, ""e6b075df-0710-53c0-a850-a6bc715553b6"": 39}","{""3e1cec0a-77e2-5463-865e-1f49b78e966c"": 15, ""e6b075df-0710-53c0-a850-a6bc715553b6"": 10}",0,0,29,9
S003,S003-Q070,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""6e93a473-ae4a-524c-aee1-43aafd7f6bb0"": 6}","{""6e93a473-ae4a-524c-aee1-43aafd7f6bb0"": 6}",0,0,0,0
S003,S003-Q077,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""21f9ae05-f6a0-5cc5-af10-142d014dcf11"": 7, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 67, ""2fdaac5c-103c-5100-8480-7d15511a3658"": 26}","{""21f9ae05-f6a0-5cc5-af10-142d014dcf11"": 13, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 72, ""2fdaac5c-103c-5100-8480-7d15511a3658"": 34}",0,0,-5,8
S003,S003-Q078,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""70584af0-da6d-5ee7-9e7c-ad3f962ef545"": 8, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 70}","{""70584af0-da6d-5ee7-9e7c-ad3f962ef545"": 7, ""96af7f08-1678-5164-9e1e-935a577a7d1b"": 66}",0,0,4,-1
S003,S003-Q084,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 68}","{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 30}",0,0,38,-38
S003,S003-Q088,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 75, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 22}","{""15caa01c-5d97-5da1-93ca-bbb8a8cf5f22"": 38, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 32}",0,0,37,10
S003,S003-Q091,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""68d070f4-4242-579d-b5a8-83f3dc6283b3"": 27, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 4, ""ff75fe78-c1af-5b7a-a243-9648b6132a06"": 8}","{""68d070f4-4242-579d-b5a8-83f3dc6283b3"": 20, ""dc75d4a6-dbec-512b-bed7-4048466382c6"": 11, ""ff75fe78-c1af-5b7a-a243-9648b6132a06"": 4}",1,1,7,7
S004,S004-Q007,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 2}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 2}",0,0,0,0
S004,S004-Q011,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 6, ""75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4"": 1}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 6, ""75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4"": 1}",0,0,0,0
S004,S004-Q013,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 8, ""d876eb51-66ba-5437-955a-25c3f405ef2f"": 2}","{""9de4c8e1-1f2d-56af-8e3f-eaed84f7c238"": 7, ""d876eb51-66ba-5437-955a-25c3f405ef2f"": 2}",0,0,1,0
S004,S004-Q014,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""a60bbf7a-8108-58fc-8b4a-1356764282aa"": 2}","{""a60bbf7a-8108-58fc-8b4a-1356764282aa"": 3}",0,0,-1,1
S004,S004-Q021,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""112af49e-d51f-599c-ad67-5cc18432f1a8"": 11}","{""112af49e-d51f-599c-ad67-5cc18432f1a8"": 13}",0,0,-2,2
S004,S004-Q022,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,HURT,"{""1404aa4a-3c7a-565e-8e67-9f834683b3b2"": 9, ""1e8809d9-9426-51b9-9e17-039093174440"": 5}","{""1404aa4a-3c7a-565e-8e67-9f834683b3b2"": 13, ""1e8809d9-9426-51b9-9e17-039093174440"": 15}",0,1,-4,10
S004,S004-Q026,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""7567fc91-4210-59bc-ac74-0cc3060edc83"": 22, ""fadb48cb-a45f-5f46-8f39-e18bd7dff4f1"": 15}","{""7567fc91-4210-59bc-ac74-0cc3060edc83"": 20, ""fadb48cb-a45f-5f46-8f39-e18bd7dff4f1"": 19}",0,0,2,4
S004,S004-Q028,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""f642437d-2d3c-5b95-a7f6-29f2e68c0a13"": 19}","{""f642437d-2d3c-5b95-a7f6-29f2e68c0a13"": 14}",0,0,5,-5
S004,S004-Q033,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""73b2fb55-c036-52ca-842e-cc784d317c61"": 2, ""dad4c589-bd44-5d61-917f-9435b971db4d"": 18}","{""73b2fb55-c036-52ca-842e-cc784d317c61"": 4, ""dad4c589-bd44-5d61-917f-9435b971db4d"": 17}",0,0,1,2
S004,S004-Q035,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,RESCUED,"{""dad4c589-bd44-5d61-917f-9435b971db4d"": 6}","{""dad4c589-bd44-5d61-917f-9435b971db4d"": 5}",1,0,1,-1
S004,S004-Q039,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""c022f180-c519-52a7-9c70-3f15928609b5"": 6, ""594016a4-b321-5143-a8c6-3923fed20111"": 21}","{""c022f180-c519-52a7-9c70-3f15928609b5"": 14, ""594016a4-b321-5143-a8c6-3923fed20111"": 26}",0,0,-5,8
S004,S004-Q042,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""c61777d3-f94f-5655-9b6b-9d6cdc28c303"": 8}","{""c61777d3-f94f-5655-9b6b-9d6cdc28c303"": 8}",0,0,0,0
S004,S004-Q044,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""094486b7-1e86-5360-8005-66c6886152c2"": 40, ""682aecdf-197a-5dc6-b88d-886b08ffb500"": 14}","{""094486b7-1e86-5360-8005-66c6886152c2"": 37, ""682aecdf-197a-5dc6-b88d-886b08ffb500"": 11}",0,0,3,-3
S004,S004-Q049,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""08c5243c-c754-5bb1-b020-dfbf21f542d7"": 25}","{""08c5243c-c754-5bb1-b020-dfbf21f542d7"": 17}",0,0,8,-8
S004,S004-Q052,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""682aecdf-197a-5dc6-b88d-886b08ffb500"": 17, ""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 38}","{""682aecdf-197a-5dc6-b88d-886b08ffb500"": 17, ""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 22}",0,0,16,0
S004,S004-Q055,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 49, ""90248870-b2cb-59d2-a707-79d09f366d8a"": 38}","{""b229284b-6a2b-5cfb-a8c8-0ccc1bd72603"": 43, ""90248870-b2cb-59d2-a707-79d09f366d8a"": 7}",0,0,31,-6
S004,S004-Q056,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""adc1eeb8-b0f8-5877-88cf-abdd23798b3a"": 41}","{""adc1eeb8-b0f8-5877-88cf-abdd23798b3a"": 26}",0,0,15,-15
S004,S004-Q063,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""2c5547ce-bd04-536c-8b2d-e09ae5633e53"": 2}","{""2c5547ce-bd04-536c-8b2d-e09ae5633e53"": 1}",0,0,1,-1
S004,S004-Q065,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""ca05266e-320c-5081-9d2d-f7c8689c58a9"": 20, ""28de896e-9356-58a4-a8c5-c3efe7770f57"": 6}","{""ca05266e-320c-5081-9d2d-f7c8689c58a9"": 33, ""28de896e-9356-58a4-a8c5-c3efe7770f57"": 48}",0,0,-13,42
