requirement_id,session_id,query_id,turn_index,group_index,gold_members,is_or,shortterm_eligible,shortterm_rank,shortterm_hit,midterm_eligible,midterm_rank,longterm_eligible,longterm_rank,longterm_hit,midterm_hit_at_5,midterm_hit_at_10,midterm_hit_at_20,final_hit
S001-Q020::G1,S001,S001-Q020,19,1,"[""S001-Q017""]",False,True,1,True,False,,False,,False,False,False,False,True
S001-Q020::G2,S001,S001-Q020,19,2,"[""S001-Q019""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q021::G1,S001,S001-Q021,20,1,"[""S001-Q015""]",False,True,,False,True,7,True,,False,False,True,True,False
S001-Q021::G2,S001,S001-Q021,20,2,"[""S001-Q020""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q022::G1,S001,S001-Q022,21,1,"[""S001-Q012""]",False,True,,False,True,13,True,,False,False,False,True,False
S001-Q022::G2,S001,S001-Q022,21,2,"[""S001-Q018""]",False,True,,False,True,11,True,,False,False,False,True,False
S001-Q022::G3,S001,S001-Q022,21,3,"[""S001-Q021""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q023::G1,S001,S001-Q023,22,1,"[""S001-Q022""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q024::G1,S001,S001-Q024,23,1,"[""S001-Q023""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q025::G1,S001,S001-Q025,24,1,"[""S001-Q022""]",False,True,1,True,False,,False,,False,False,False,False,True
S001-Q025::G2,S001,S001-Q025,24,2,"[""S001-Q024""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q026::G1,S001,S001-Q026,25,1,"[""S001-Q014""]",False,True,,False,True,3,True,4,True,True,True,True,True
S001-Q026::G2,S001,S001-Q026,25,2,"[""S001-Q019""]",False,True,,False,True,12,True,,False,False,False,True,False
S001-Q026::G3,S001,S001-Q026,25,3,"[""S001-Q025""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q027::G1,S001,S001-Q027,26,1,"[""S001-Q026""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q028::G1,S001,S001-Q028,27,1,"[""S001-Q022""]",False,True,,False,True,3,True,,False,True,True,True,True
S001-Q028::G2,S001,S001-Q028,27,2,"[""S001-Q027""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q029::G1,S001,S001-Q029,28,1,"[""S001-Q028""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q030::G1,S001,S001-Q030,29,1,"[""S001-Q027""]",False,True,1,True,False,,False,,False,False,False,False,True
S001-Q030::G2,S001,S001-Q030,29,2,"[""S001-Q029""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q031::G1,S001,S001-Q031,30,1,"[""S001-Q030""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q032::G1,S001,S001-Q032,31,1,"[""S001-Q031""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q033::G1,S001,S001-Q033,32,1,"[""S001-Q023""]",False,True,,False,True,2,True,,False,True,True,True,True
S001-Q033::G2,S001,S001-Q033,32,2,"[""S001-Q029""]",False,True,,False,True,24,True,,False,False,False,False,False
S001-Q033::G3,S001,S001-Q033,32,3,"[""S001-Q032""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q034::G1,S001,S001-Q034,33,1,"[""S001-Q033""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q035::G1,S001,S001-Q035,34,1,"[""S001-Q029""]",False,True,,False,True,23,True,3,True,False,False,False,True
S001-Q035::G2,S001,S001-Q035,34,2,"[""S001-Q032""]",False,True,1,True,False,,True,,False,False,False,False,True
S001-Q035::G3,S001,S001-Q035,34,3,"[""S001-Q034""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q036::G1,S001,S001-Q036,35,1,"[""S001-Q035""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q037::G1,S001,S001-Q037,36,1,"[""S001-Q036""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q038::G1,S001,S001-Q038,37,1,"[""S001-Q037""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q039::G1,S001,S001-Q039,38,1,"[""S001-Q027""]",False,True,,False,True,1,True,,False,True,True,True,True
S001-Q039::G2,S001,S001-Q039,38,2,"[""S001-Q032""]",False,True,,False,True,13,True,,False,False,False,True,False
S001-Q039::G3,S001,S001-Q039,38,3,"[""S001-Q038""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q040::G1,S001,S001-Q040,39,1,"[""S001-Q037""]",False,True,1,True,False,,False,,False,False,False,False,True
S001-Q040::G2,S001,S001-Q040,39,2,"[""S001-Q039""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q041::G1,S001,S001-Q041,40,1,"[""S001-Q040""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q042::G1,S001,S001-Q042,41,1,"[""S001-Q036""]",False,True,,False,True,7,True,,False,False,True,True,False
S001-Q042::G2,S001,S001-Q042,41,2,"[""S001-Q041""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q043::G1,S001,S001-Q043,42,1,"[""S001-Q042""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q044::G1,S001,S001-Q044,43,1,"[""S001-Q034""]",False,True,,False,True,4,True,,False,True,True,True,True
S001-Q044::G2,S001,S001-Q044,43,2,"[""S001-Q040""]",False,True,,False,True,6,True,,False,False,True,True,False
S001-Q044::G3,S001,S001-Q044,43,3,"[""S001-Q043""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q045::G1,S001,S001-Q045,44,1,"[""S001-Q042""]",False,True,1,True,False,,False,,False,False,False,False,True
S001-Q045::G2,S001,S001-Q045,44,2,"[""S001-Q044""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q046::G1,S001,S001-Q046,45,1,"[""S001-Q045""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q047::G1,S001,S001-Q047,46,1,"[""S001-Q046""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q048::G1,S001,S001-Q048,47,1,"[""S001-Q047""]",False,True,3,True,False,,False,,False,False,False,False,True
S001-Q049::G1,S001,S001-Q049,48,1,"[""S001-Q043""]",False,True,,False,True,11,True,,False,False,False,True,False
S001-Q049::G2,S001,S001-Q049,48,2,"[""S001-Q048""]",False,True,3,True,False,,True,,False,False,False,False,True
S001-Q050::G1,S001,S001-Q050,49,1,"[""S001-Q047""]",False,True,1,True,False,,False,,False,False,False,False,True
S001-Q050::G2,S001,S001-Q050,49,2,"[""S001-Q049""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q002::G1,S002,S002-Q002,1,1,"[""S002-Q001""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q003::G1,S002,S002-Q003,2,1,"[""S002-Q002""]",False,True,2,True,False,,False,,False,False,False,False,True
S002-Q004::G1,S002,S002-Q004,3,1,"[""S002-Q003""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q005::G1,S002,S002-Q005,4,1,"[""S002-Q002""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q005::G2,S002,S002-Q005,4,2,"[""S002-Q004""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q006::G1,S002,S002-Q006,5,1,"[""S002-Q005""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q007::G1,S002,S002-Q007,6,1,"[""S002-Q001""]",False,True,,False,True,3,True,1,True,True,True,True,True
S002-Q007::G2,S002,S002-Q007,6,2,"[""S002-Q006""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q008::G1,S002,S002-Q008,7,1,"[""S002-Q007""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q009::G1,S002,S002-Q009,8,1,"[""S002-Q008""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q010::G1,S002,S002-Q010,9,1,"[""S002-Q007""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q010::G2,S002,S002-Q010,9,2,"[""S002-Q009""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q011::G1,S002,S002-Q011,10,1,"[""S002-Q001""]",False,True,,False,True,7,True,,False,False,True,True,False
S002-Q011::G2,S002,S002-Q011,10,2,"[""S002-Q007""]",False,True,,False,True,5,True,4,True,True,True,True,True
S002-Q011::G3,S002,S002-Q011,10,3,"[""S002-Q010""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q012::G1,S002,S002-Q012,11,1,"[""S002-Q011""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q013::G1,S002,S002-Q013,12,1,"[""S002-Q001""]",False,True,,False,True,9,True,2,True,False,True,True,True
S002-Q013::G2,S002,S002-Q013,12,2,"[""S002-Q006""]",False,True,,False,True,5,True,4,True,True,True,True,True
S002-Q013::G3,S002,S002-Q013,12,3,"[""S002-Q012""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q014::G1,S002,S002-Q014,13,1,"[""S002-Q008""]",False,True,,False,True,6,True,4,True,False,True,True,True
S002-Q014::G2,S002,S002-Q014,13,2,"[""S002-Q013""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q015::G1,S002,S002-Q015,14,1,"[""S002-Q012""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q015::G2,S002,S002-Q015,14,2,"[""S002-Q014""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q016::G1,S002,S002-Q016,15,1,"[""S002-Q015""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q017::G1,S002,S002-Q017,16,1,"[""S002-Q016""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q018::G1,S002,S002-Q018,17,1,"[""S002-Q017""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q019::G1,S002,S002-Q019,18,1,"[""S002-Q018""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q020::G1,S002,S002-Q020,19,1,"[""S002-Q017""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q020::G2,S002,S002-Q020,19,2,"[""S002-Q019""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q021::G1,S002,S002-Q021,20,1,"[""S002-Q015""]",False,True,,False,True,15,True,,False,False,False,True,False
S002-Q021::G2,S002,S002-Q021,20,2,"[""S002-Q020""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q022::G1,S002,S002-Q022,21,1,"[""S002-Q012""]",False,True,,False,True,11,True,,False,False,False,True,False
S002-Q022::G2,S002,S002-Q022,21,2,"[""S002-Q018""]",False,True,,False,True,7,True,2,True,False,True,True,True
S002-Q022::G3,S002,S002-Q022,21,3,"[""S002-Q021""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q023::G1,S002,S002-Q023,22,1,"[""S002-Q022""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q024::G1,S002,S002-Q024,23,1,"[""S002-Q023""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q025::G1,S002,S002-Q025,24,1,"[""S002-Q022""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q025::G2,S002,S002-Q025,24,2,"[""S002-Q024""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q026::G1,S002,S002-Q026,25,1,"[""S002-Q014""]",False,True,,False,True,8,True,,False,False,True,True,False
S002-Q026::G2,S002,S002-Q026,25,2,"[""S002-Q019""]",False,True,,False,True,10,True,,False,False,True,True,False
S002-Q026::G3,S002,S002-Q026,25,3,"[""S002-Q025""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q027::G1,S002,S002-Q027,26,1,"[""S002-Q026""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q028::G1,S002,S002-Q028,27,1,"[""S002-Q022""]",False,True,,False,True,2,True,,False,True,True,True,True
S002-Q028::G2,S002,S002-Q028,27,2,"[""S002-Q027""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q029::G1,S002,S002-Q029,28,1,"[""S002-Q028""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q030::G1,S002,S002-Q030,29,1,"[""S002-Q027""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q030::G2,S002,S002-Q030,29,2,"[""S002-Q029""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q031::G1,S002,S002-Q031,30,1,"[""S002-Q030""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q032::G1,S002,S002-Q032,31,1,"[""S002-Q031""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q033::G1,S002,S002-Q033,32,1,"[""S002-Q023""]",False,True,,False,True,2,True,,False,True,True,True,True
S002-Q033::G2,S002,S002-Q033,32,2,"[""S002-Q029""]",False,True,,False,True,11,True,,False,False,False,True,False
S002-Q033::G3,S002,S002-Q033,32,3,"[""S002-Q032""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q034::G1,S002,S002-Q034,33,1,"[""S002-Q033""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q035::G1,S002,S002-Q035,34,1,"[""S002-Q029""]",False,True,,False,True,11,True,,False,False,False,True,False
S002-Q035::G2,S002,S002-Q035,34,2,"[""S002-Q032""]",False,True,1,True,False,,True,,False,False,False,False,True
S002-Q035::G3,S002,S002-Q035,34,3,"[""S002-Q034""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q036::G1,S002,S002-Q036,35,1,"[""S002-Q035""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q037::G1,S002,S002-Q037,36,1,"[""S002-Q036""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q038::G1,S002,S002-Q038,37,1,"[""S002-Q037""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q039::G1,S002,S002-Q039,38,1,"[""S002-Q027""]",False,True,,False,True,13,True,,False,False,False,True,False
S002-Q039::G2,S002,S002-Q039,38,2,"[""S002-Q032""]",False,True,,False,True,2,True,,False,True,True,True,True
S002-Q039::G3,S002,S002-Q039,38,3,"[""S002-Q038""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q040::G1,S002,S002-Q040,39,1,"[""S002-Q037""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q040::G2,S002,S002-Q040,39,2,"[""S002-Q039""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q041::G1,S002,S002-Q041,40,1,"[""S002-Q040""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q042::G1,S002,S002-Q042,41,1,"[""S002-Q036"", ""S002-Q041""]",True,True,3,True,False,,False,,False,False,False,False,True
S002-Q043::G1,S002,S002-Q043,42,1,"[""S002-Q042""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q044::G1,S002,S002-Q044,43,1,"[""S002-Q034"", ""S002-Q043""]",True,True,3,True,False,,True,,False,False,False,False,True
S002-Q044::G2,S002,S002-Q044,43,2,"[""S002-Q040""]",False,True,,False,True,4,True,,False,True,True,True,True
S002-Q045::G1,S002,S002-Q045,44,1,"[""S002-Q042""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q045::G2,S002,S002-Q045,44,2,"[""S002-Q044""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q046::G1,S002,S002-Q046,45,1,"[""S002-Q045""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q047::G1,S002,S002-Q047,46,1,"[""S002-Q046""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q048::G1,S002,S002-Q048,47,1,"[""S002-Q047""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q049::G1,S002,S002-Q049,48,1,"[""S002-Q043""]",False,True,,False,True,4,True,,False,True,True,True,True
S002-Q049::G2,S002,S002-Q049,48,2,"[""S002-Q048""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q050::G1,S002,S002-Q050,49,1,"[""S002-Q047""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q050::G2,S002,S002-Q050,49,2,"[""S002-Q049""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q051::G1,S002,S002-Q051,50,1,"[""S002-Q050""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q052::G1,S002,S002-Q052,51,1,"[""S002-Q040""]",False,True,,False,True,1,True,2,True,True,True,True,True
S002-Q052::G2,S002,S002-Q052,51,2,"[""S002-Q045""]",False,True,,False,True,15,True,,False,False,False,True,False
S002-Q052::G3,S002,S002-Q052,51,3,"[""S002-Q051""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q053::G1,S002,S002-Q053,52,1,"[""S002-Q052""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q054::G1,S002,S002-Q054,53,1,"[""S002-Q053""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q055::G1,S002,S002-Q055,54,1,"[""S002-Q045""]",False,True,,False,True,16,True,,False,False,False,True,False
S002-Q055::G2,S002,S002-Q055,54,2,"[""S002-Q051""]",False,True,,False,True,12,True,,False,False,False,True,False
S002-Q055::G3,S002,S002-Q055,54,3,"[""S002-Q052""]",False,True,1,True,False,,True,,False,False,False,False,True
S002-Q055::G4,S002,S002-Q055,54,4,"[""S002-Q054""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q056::G1,S002,S002-Q056,55,1,"[""S002-Q050""]",False,True,,False,True,36,True,,False,False,False,False,False
S002-Q056::G2,S002,S002-Q056,55,2,"[""S002-Q055""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q057::G1,S002,S002-Q057,56,1,"[""S002-Q056""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q058::G1,S002,S002-Q058,57,1,"[""S002-Q057""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q059::G1,S002,S002-Q059,58,1,"[""S002-Q058""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q060::G1,S002,S002-Q060,59,1,"[""S002-Q057""]",False,True,1,True,False,,False,,False,False,False,False,True
S002-Q060::G2,S002,S002-Q060,59,2,"[""S002-Q059""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q061::G1,S002,S002-Q061,60,1,"[""S002-Q060""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q062::G1,S002,S002-Q062,61,1,"[""S002-Q061""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q063::G1,S002,S002-Q063,62,1,"[""S002-Q057""]",False,True,,False,True,11,True,,False,False,False,True,False
S002-Q063::G2,S002,S002-Q063,62,2,"[""S002-Q062""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q064::G1,S002,S002-Q064,63,1,"[""S002-Q063""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q065::G1,S002,S002-Q065,64,1,"[""S002-Q053""]",False,True,,False,True,1,True,,False,True,True,True,True
S002-Q065::G2,S002,S002-Q065,64,2,"[""S002-Q058""]",False,True,,False,True,6,True,,False,False,True,True,False
S002-Q065::G3,S002,S002-Q065,64,3,"[""S002-Q062""]",False,True,1,True,False,,True,,False,False,False,False,True
S002-Q065::G4,S002,S002-Q065,64,4,"[""S002-Q064""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q066::G1,S002,S002-Q066,65,1,"[""S002-Q056""]",False,True,,False,True,1,True,,False,True,True,True,True
S002-Q066::G2,S002,S002-Q066,65,2,"[""S002-Q062""]",False,True,,False,True,11,True,,False,False,False,True,False
S002-Q066::G3,S002,S002-Q066,65,3,"[""S002-Q065""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q067::G1,S002,S002-Q067,66,1,"[""S002-Q066""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q068::G1,S002,S002-Q068,67,1,"[""S002-Q067""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q069::G1,S002,S002-Q069,68,1,"[""S002-Q068""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q070::G1,S002,S002-Q070,69,1,"[""S002-Q064""]",False,True,,False,True,11,True,,False,False,False,True,False
S002-Q070::G2,S002,S002-Q070,69,2,"[""S002-Q067""]",False,True,1,True,False,,True,,False,False,False,False,True
S002-Q070::G3,S002,S002-Q070,69,3,"[""S002-Q069""]",False,True,3,True,False,,True,,False,False,False,False,True
S002-Q071::G1,S002,S002-Q071,70,1,"[""S002-Q070""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q072::G1,S002,S002-Q072,71,1,"[""S002-Q071""]",False,True,3,True,False,,False,,False,False,False,False,True
S002-Q073::G1,S002,S002-Q073,72,1,"[""S002-Q072""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q002::G1,S003,S003-Q002,1,1,"[""S003-Q001""]",False,True,1,True,False,,False,,False,False,False,False,True
S003-Q003::G1,S003,S003-Q003,2,1,"[""S003-Q002""]",False,True,2,True,False,,False,,False,False,False,False,True
S003-Q004::G1,S003,S003-Q004,3,1,"[""S003-Q003""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q005::G1,S003,S003-Q005,4,1,"[""S003-Q002""]",False,True,1,True,False,,False,,False,False,False,False,True
S003-Q005::G2,S003,S003-Q005,4,2,"[""S003-Q004""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q006::G1,S003,S003-Q006,5,1,"[""S003-Q005""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q007::G1,S003,S003-Q007,6,1,"[""S003-Q001""]",False,True,,False,True,2,True,1,True,True,True,True,True
S003-Q007::G2,S003,S003-Q007,6,2,"[""S003-Q006""]",False,True,3,True,False,,True,,False,False,False,False,True
S003-Q008::G1,S003,S003-Q008,7,1,"[""S003-Q007""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q009::G1,S003,S003-Q009,8,1,"[""S003-Q008""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q010::G1,S003,S003-Q010,9,1,"[""S003-Q007""]",False,True,1,True,False,,False,,False,False,False,False,True
S003-Q010::G2,S003,S003-Q010,9,2,"[""S003-Q009""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q011::G1,S003,S003-Q011,10,1,"[""S003-Q001""]",False,True,,False,True,4,True,2,True,True,True,True,True
S003-Q011::G2,S003,S003-Q011,10,2,"[""S003-Q007""]",False,True,,False,True,1,True,3,True,True,True,True,True
S003-Q011::G3,S003,S003-Q011,10,3,"[""S003-Q010""]",False,True,3,True,False,,True,,False,False,False,False,True
S003-Q012::G1,S003,S003-Q012,11,1,"[""S003-Q011""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q013::G1,S003,S003-Q013,12,1,"[""S003-Q001""]",False,True,,False,True,6,True,1,True,False,True,True,True
S003-Q013::G2,S003,S003-Q013,12,2,"[""S003-Q006""]",False,True,,False,True,5,True,3,True,True,True,True,True
S003-Q013::G3,S003,S003-Q013,12,3,"[""S003-Q012""]",False,True,3,True,False,,True,,False,False,False,False,True
S003-Q014::G1,S003,S003-Q014,13,1,"[""S003-Q008""]",False,True,,False,True,1,True,,False,True,True,True,True
S003-Q014::G2,S003,S003-Q014,13,2,"[""S003-Q013""]",False,True,3,True,False,,True,,False,False,False,False,True
S003-Q015::G1,S003,S003-Q015,14,1,"[""S003-Q012""]",False,True,1,True,False,,False,,False,False,False,False,True
S003-Q015::G2,S003,S003-Q015,14,2,"[""S003-Q014""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q016::G1,S003,S003-Q016,15,1,"[""S003-Q015""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q017::G1,S003,S003-Q017,16,1,"[""S003-Q016""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q018::G1,S003,S003-Q018,17,1,"[""S003-Q017""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q019::G1,S003,S003-Q019,18,1,"[""S003-Q018""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q020::G1,S003,S003-Q020,19,1,"[""S003-Q017""]",False,True,1,True,False,,False,,False,False,False,False,True
S003-Q020::G2,S003,S003-Q020,19,2,"[""S003-Q019""]",False,True,3,True,False,,False,,False,False,False,False,True
S003-Q021::G1,S003,S003-Q021,20,1,"[""S003-Q015""]",False,True,,False,True,7,True,,False,False,True,True,False
S003-Q021::G2,S003,S003-Q021,20,2,"[""S003-Q020""]",False,True,3,True,False,,True,,False,False,False,False,True
S003-Q022::G1,S003,S003-Q022,21,1,"[""S003-Q012""]",False,True,,False,True,1,True,,False,True,True,True,True
